stage,episode,global_step,episode_return,manager_return,mean_step_reward,min_step_reward,max_step_reward,eval_return,best_eval_return,eval_solver_failures,eval_power_success_rate,eval_gas_success_rate,eval_mean_voltage_rms_deviation_pu,eval_mean_gas_pressure_rms_deviation_bar,eval_terminal_soc_violation_rate,eval_max_terminal_soc_deviation,fast_buffer_size,slow_buffer_size,manager_buffer_size,solver_failures,gas_solve_count,mean_action_projection,max_action_projection,mean_slow_action_projection,max_slow_action_projection,mean_fast_action_projection,max_fast_action_projection,mean_ess_action_guard,max_ess_action_guard,mean_goal_change,max_goal_change,mean_voltage_rms_deviation_pu,mean_gas_pressure_rms_deviation_bar,voltage_deviation_cost,gas_pressure_deviation_cost,voltage_violation_cost,gas_pressure_violation_cost,pipe_velocity_violation_cost,source_capacity_violation_cost,gas_purchase_cost,terminal_soc_cost,terminal_soc_dense_cost,terminal_soc_max_deviation,terminal_soc_rms_deviation,interaction_reward_estimated_clips,manager_reward_clips,fast_total_insertions,slow_total_insertions,manager_total_insertions,fast_update_count,slow_update_count,manager_update_count,fast_actor_update_count,slow_actor_update_count,manager_actor_update_count,fast_critic_update_count,slow_critic_update_count,manager_critic_update_count,nonfinite_batch_count,fast_normalizer_count,slow_normalizer_count,manager_normalizer_count,mean_target_q_clipping_ratio,mean_reward_clipping_ratio,mean_actor_action_saturation_ratio,fast_actor_action_abs_mean,slow_actor_action_abs_mean,fast_actor_action_saturation_ratio,slow_actor_action_saturation_ratio,fast_actor_reference_deviation_rms,slow_actor_reference_deviation_rms,fast_curtailment_action_mean,slow_raw_to_guard_projection_rms,slow_guard_to_executed_projection_rms,slow_global_safety_group_share,slow_role_specific_group_share,joint_evaluations_without_improvement,early_stop_requested
fast_pretrain,15,7680,-15214.16673542214,-1997.434130674593,-31.696180698796134,-348.71771247266383,-14.148528571775625,,-283337.73380210827,,,,,,,,7680,384,192,0,81,0.013983905437073282,0.3687601502379444,0.0,0.0,0.013983905154357974,0.3687601387500763,0.0,0.0,0.0,0.0,0.013160629108294068,0.569741605581702,2590.9050667247375,3895.272708954919,322.0652206017998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7680,384,192,2686,0,0,1343,0,0,2686,0,0,0,7680.0001,0.0001,0.0001,0.0,0.0,0.011200968424479167,0.3483081296086311,0.0,0.011200968424479167,0.0,0.8334713441630205,0.0,0.010372338427502351,0.0,0.0,0.0,0.0,0,0.0
fast_pretrain,16,8160,-15039.085435520894,-2019.5345815549472,-31.331427990668523,-66.02853402489296,-15.150831405657122,,-283337.73380210827,,,,,,,,8160,408,204,0,83,0.04299431154692153,0.4390600099463883,0.0,0.0,0.042994311762352785,0.4390600323677063,0.0,0.0,0.0,0.0,0.01361503770230925,0.569753294512429,2679.3131151095176,3895.4325362163368,7.926750722574149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8160,408,204,3167,0,0,1584,0,0,3167,0,0,0,8160.0001,0.0001,0.0001,0.0,0.0,0.01244408065352697,0.365500090156848,0.0,0.01244408065352697,0.0,0.8453732481635953,0.0,0.017649540841420997,0.0,0.0,0.0,0.0,0,0.0
fast_pretrain,17,8640,-15437.401772473939,-2034.161408676872,-32.161253692654014,-269.31670714143326,-13.558602553875065,,-283337.73380210827,,,,,,,,8640,432,216,0,80,0.01196039881656468,0.3049513758532552,0.0,0.0,0.011960398964583873,0.30495139956474304,0.0,0.0,0.0,0.0,0.013347202966072747,0.5697595860147886,2531.219715903302,3895.518618101116,361.9470840599651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8640,432,216,3648,0,0,1824,0,0,3648,0,0,0,8640.000100000001,0.0001,0.0001,0.0,0.0,0.013097127278645834,0.3896438238521417,0.0,0.013097127278645834,0.0,0.8550059941907724,0.0,0.011007133040887613,0.0,0.0,0.0,0.0,0,0.0
fast_pretrain,18,9120,-15394.15677189482,-2025.070834789941,-32.07115994144755,-190.04190201871583,-13.672854040187135,,-283337.73380210827,,,,,,,,9120,456,228,0,76,0.025827921239485283,0.39411427717249614,0.0,0.0,0.02582792132549609,0.39411425590515137,0.0,0.0,0.0,0.0,0.01310576271380814,0.569766491567808,2461.8649985015018,3895.6125344470233,324.2213464907159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9120,456,228,4129,0,0,2065,0,0,4129,0,0,0,9120.000100000001,0.0001,0.0001,0.0,0.0,0.014161169281639005,0.41089622979342194,0.0,0.014161169281639005,0.0,0.8499940401290957,0.0,-0.0180839308869882,0.0,0.0,0.0,0.0,0,0.0
fast_pretrain,19,9600,-14960.833900673706,-2004.24783831288,-31.1684039597369,-114.81022800023187,-13.575399041735928,-14003.49678912068,-14003.49678912068,0.0,1.0,1.0,0.012335953412525174,0.569751046972544,0.0,0.0,9600,480,240,0,83,0.04980345982194465,0.5208273017315106,0.0,0.0,0.0498034589846308,0.5208272933959961,0.0,0.0,0.0,0.0,0.01328973828757349,0.5697609213178683,2515.2051178938923,3895.5367675004495,230.327039962558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9600,480,240,4610,0,0,2305,0,0,4610,0,0,0,9600.000100000001,0.0001,0.0001,0.0,0.0,0.016130574544270835,0.4319707763691743,0.0,0.016130574544270835,0.0,0.856608896702528,0.0,-0.027917635069267515,0.0,0.0,0.0,0.0,0,0.0
fast_pretrain,20,10080,-14906.238820931509,-1979.056313061328,-31.05466421027397,-93.27299423959009,-12.566570257129412,,-14003.49678912068,,,,,,,,10080,504,252,0,80,0.04011292024128711,0.5040796475597615,0.0,0.0,0.040112920695294936,0.5040796399116516,0.0,0.0,0.0,0.0,0.013052135559476074,0.5697494966112286,2435.916487459642,3895.380425995525,300.3347818947656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10080,504,252,5091,0,0,2546,0,0,5091,0,0,0,10080.000100000001,0.0001,0.0001,0.0,0.0,0.01740996174792531,0.4350913364857559,0.0,0.01740996174792531,0.0,0.8560874726762415,0.0,-0.0320799977970754,0.0,0.0,0.0,0.0,0,0.0
fast_pretrain,21,10560,-14326.832443379986,-1922.8539587707282,-29.84756759037497,-120.91967268671569,-11.735088953138906,,-14003.49678912068,,,,,,,,10560,528,264,0,89,0.0412561613018013,0.5281873140435516,0.0,0.0,0.041256161973190805,0.5281873345375061,0.0,0.0,0.0,0.0,0.012866062426869112,0.5697629926210261,2413.593047437531,3895.5650157630926,263.5625710331344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10560,528,264,5572,0,0,2786,0,0,5572,0,0,0,10560.000100000001,0.0001,0.0001,0.0,0.0,0.018165079752604167,0.4334534674882889,0.0,0.018165079752604167,0.0,0.8368082779149214,0.0,-0.06288432819128502,0.0,0.0,0.0,0.0,0,0.0
fast_pretrain,22,11040,-14353.68507856364,-1900.8228075126435,-29.903510580340928,-82.44826766686539,-11.49554752718067,,-14003.49678912068,,,,,,,,11040,552,276,0,81,0.02873487565856895,0.5165951726414895,0.0,0.0,0.028734875974138655,0.516595184803009,0.0,0.0,0.0,0.0,0.012965356012681282,0.569764917031155,2400.5615070109825,3895.5914763840988,108.34893509560608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11040,552,276,6053,0,0,3027,0,0,6053,0,0,0,11040.000100000001,0.0001,0.0001,0.0,0.0,0.01881301056794606,0.4244547626042267,0.0,0.01881301056794606,0.0,0.8223321215245734,0.0,-0.07776479088581512,0.0,0.0,0.0,0.0,0,0.0
fast_pretrain,23,11520,-13160.77649948532,-1760.9099407203748,-27.418284373927765,-61.256582687097726,-10.366117336287429,,-14003.49678912068,,,,,,,,11520,576,288,0,87,0.021579446474070365,0.41858532079433763,0.0,0.0,0.02157944650389254,0.41858533024787903,0.0,0.0,0.0,0.0,0.011400661898609561,0.5697490186748289,1825.5367354609928,3895.373681491998,50.895234424669574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11520,576,288,6534,0,0,3267,0,0,6534,0,0,0,11520.000100000001,0.0001,0.0001,0.0,0.0,0.019478352864583333,0.41917526796460153,0.0,0.019478352864583333,0.0,0.797979852060477,0.0,-0.11242900423627968,0.0,0.0,0.0,0.0,0,0.0
fast_pretrain,24,12000,-14273.296739105645,-1791.8268924209676,-29.736034873136763,-866.0198114344681,-10.857456959152488,,-14003.49678912068,,,,,,,,12000,600,300,0,75,0.038343260437448574,0.5563276579392273,0.0,0.0,0.0383432601345703,0.5563277006149292,0.0,0.0,0.0,0.0,0.012036395343187407,0.5697697468358645,2115.479874888645,3895.6572413471963,934.412396940913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12000,600,300,7015,0,0,3508,0,0,7015,0,0,0,12000.000100000001,0.0001,0.0001,0.0,0.0,0.020831982624481327,0.41814064769329373,0.0,0.020831982624481327,0.0,0.7917134032209879,0.0,-0.12343198784406749,0.0,0.0,0.0,0.0,0,0.0
