stage,episode,global_step,episode_return,manager_return,mean_step_reward,min_step_reward,max_step_reward,eval_return,best_eval_return,eval_solver_failures,eval_power_success_rate,eval_gas_success_rate,eval_mean_voltage_rms_deviation_pu,eval_mean_gas_pressure_rms_deviation_bar,eval_terminal_soc_violation_rate,eval_max_terminal_soc_deviation,fast_buffer_size,slow_buffer_size,manager_buffer_size,solver_failures,gas_solve_count,mean_action_projection,max_action_projection,mean_slow_action_projection,max_slow_action_projection,mean_fast_action_projection,max_fast_action_projection,mean_ess_action_guard,max_ess_action_guard,mean_goal_change,max_goal_change,mean_voltage_rms_deviation_pu,mean_gas_pressure_rms_deviation_bar,voltage_deviation_cost,gas_pressure_deviation_cost,voltage_violation_cost,gas_pressure_violation_cost,pipe_velocity_violation_cost,source_capacity_violation_cost,gas_purchase_cost,terminal_soc_cost,terminal_soc_dense_cost,terminal_soc_max_deviation,terminal_soc_rms_deviation,interaction_reward_estimated_clips,manager_reward_clips,fast_total_insertions,slow_total_insertions,manager_total_insertions,fast_update_count,slow_update_count,manager_update_count,fast_actor_update_count,slow_actor_update_count,manager_actor_update_count,fast_critic_update_count,slow_critic_update_count,manager_critic_update_count,nonfinite_batch_count,fast_normalizer_count,slow_normalizer_count,manager_normalizer_count,mean_target_q_clipping_ratio,mean_reward_clipping_ratio,mean_actor_action_saturation_ratio,fast_actor_action_abs_mean,slow_actor_action_abs_mean,fast_actor_action_saturation_ratio,slow_actor_action_saturation_ratio,fast_actor_reference_deviation_rms,slow_actor_reference_deviation_rms,fast_curtailment_action_mean,slow_raw_to_guard_projection_rms,slow_guard_to_executed_projection_rms,slow_global_safety_group_share,slow_role_specific_group_share,joint_evaluations_without_improvement,early_stop_requested
manager_train,10,5280,-14897.280647599513,-2921.1135435079686,-31.03600134916566,-483.82647527394516,-9.499505237429897,,-14038.008924747954,,,,,,,,5280,264,132,0,80,0.07844568073915852,0.6498466123487061,3.492459654808044e-11,1.4901161193847656e-08,0.07844568016007543,0.649846613407135,0.022015945209811132,0.41751566529273987,0.16579774496230212,0.2959841191768646,0.01903032200580814,0.47730042923774846,5091.262768289036,2733.7979044585254,4594.4618626724305,0.0,0.0,0.0,0.0,87.11609045754696,541.8125519472072,0.44999999999999996,0.3810426276624593,0,0,5280,264,132,0,0,20,0,0,10,0,0,20,0,38400.000100000005,3120.0001,80.0001,0.0,0.0,0.0001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
manager_train,11,5760,-16986.621767819743,-2544.9598636057312,-35.38879534962448,-778.6985319071968,-6.657290756866836,,-14038.008924747954,,,,,,,,5760,288,144,0,81,0.05668502179953405,0.39989446296660036,5.587935447692871e-10,2.086162567138672e-07,0.05668502114713192,0.39989447593688965,0.005594835306207339,0.08467718958854675,0.13149422339417718,0.214896559715271,0.016798636859260772,0.4773187916476888,4338.903791587502,2734.0095431262603,7218.572741926573,0.0,0.0,0.0,0.0,43.76068651204636,254.6883217178719,0.44999999999999996,0.27006383971216374,0,0,5760,288,144,0,0,68,0,0,34,0,0,68,0,38400.000100000005,3120.0001,92.0001,0.0,0.0,0.0004069010416666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
manager_train,12,6240,-108987.46419147513,-4797.575163358286,-227.05721706557355,-2568.9575371446563,-8.508403355802704,,-14038.008924747954,,,,,,,,6240,312,156,0,78,0.030384733484949935,0.23055004457243514,2.1827872842550278e-10,1.043081283569336e-07,0.03038473294970269,0.23055003583431244,0.021313646497825783,0.35788360238075256,0.09949780238622968,0.20382925868034363,0.023814110080525273,0.47722831188684667,9496.02948116876,2732.969099130935,93990.01382392205,0.0,0.0,0.0,0.0,39.024087462436846,179.10738903828818,0.36873691386968555,0.25502969586055674,0,0,6240,312,156,0,0,116,0,0,58,0,0,116,0,38400.000100000005,3120.0001,104.0001,0.0,0.0,0.0004475911458333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
manager_train,13,6720,-52995.64045102617,-4588.727141117149,-110.40758427297109,-1301.289230817951,-6.939357993687449,,-14038.008924747954,,,,,,,,6720,336,168,0,83,0.07594461298686671,0.6629224372328538,2.7163594745922835e-11,1.30385160446167e-08,0.07594461245462299,0.6629223823547363,0.05683149086932341,0.36974841356277466,0.13485941477119923,0.2863270342350006,0.024553692809830528,0.47722156052944803,8834.3699609965,2732.8925845544127,38489.82480681405,0.0,0.0,0.0,0.0,33.91619072552097,292.7560581577512,0.4,0.23775404211608042,0,0,6720,336,168,0,0,164,0,0,82,0,0,164,0,38400.000100000005,3120.0001,116.0001,0.0,0.0,0.0002644856770833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
manager_train,14,7200,-47093.74010708903,-3993.772517267854,-98.11195855643554,-1491.2842563579827,-7.576749061595436,,-14038.008924747954,,,,,,,,7200,360,180,0,82,0.08441615043807008,0.6986320848421015,4.850638409455617e-12,2.3283064365386963e-09,0.08441615030169487,0.6986320614814758,0.05600817943923175,0.3860909938812256,0.09203598484269936,0.2500150203704834,0.022920406632690276,0.4772622314957902,7979.749622179412,2733.3593183849716,33893.49686433793,0.0,0.0,0.0,0.0,47.567540250599606,294.04552102931575,0.4,0.28156568283617117,0,0,7200,360,180,0,0,212,0,0,106,0,0,212,0,38400.000100000005,3120.0001,128.0001,0.0,0.0,6.103515625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
manager_train,15,7680,-30202.602224279766,-3852.0016992886176,-62.9220879672495,-861.3731803498524,-8.368186625491678,,-14038.008924747954,,,,,,,,7680,384,192,0,81,0.07997265926639145,0.5924076240881148,1.940255363782247e-12,9.313225746154785e-10,0.07997265988960862,0.5924075841903687,0.06899634942722817,0.43007126450538635,0.06047094239990904,0.24679391086101532,0.022656457589594385,0.47728928043214,7476.928394081937,2733.6707091097787,17781.735257221375,0.0,0.0,0.0,0.0,69.5244156468876,371.5104871637182,0.4,0.3404027409968169,0,0,7680,384,192,0,0,260,0,0,130,0,0,260,0,38400.000100000005,3120.0001,140.0001,0.0,0.0,0.007832845052083334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
manager_train,16,8160,-30190.219183313846,-4454.6459609305075,-62.89628996523712,-924.4131660810367,-8.232224049272531,,-14038.008924747954,,,,,,,,8160,408,204,0,83,0.09545379169460909,0.6026628438937974,7.864079757761526e-17,3.774758283725532e-14,0.09545379239910592,0.6026628613471985,0.13569174148142338,0.5850977301597595,0.0055654044368896975,0.023313723504543304,0.017125498703630036,0.4773381077548968,4922.489240564862,2734.2312634425516,19159.22085253845,0.0,0.0,0.0,0.0,102.79447672695845,659.9700257266416,0.44999999999999996,0.41391318881894074,0,0,8160,408,204,0,0,308,0,0,154,0,0,308,0,38400.000100000005,3120.0001,152.0001,0.0,0.0,0.02593994140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
manager_train,17,8640,-26321.94168749989,-4565.313990379147,-54.83737851562482,-691.542500452742,-9.754757778017964,,-14038.008924747954,,,,,,,,8640,432,216,0,80,0.09059916920854412,0.6442624000645325,5.66554566224416e-10,1.4901161193847656e-07,0.09059916981495916,0.644262433052063,0.1234885052156945,0.44701388478279114,0.0015169129632836716,0.005827891640365124,0.019428913395776085,0.4773745374854504,5830.448713758155,2734.6499503938844,15168.085644797737,0.0,0.0,0.0,0.0,104.5,709.0919254293705,0.44999999999999996,0.4173328008516305,0,0,8640,432,216,0,0,356,0,0,178,0,0,356,0,38400.000100000005,3120.0001,164.0001,0.0,0.0,0.042928059895833336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
manager_train,18,9120,-10600.786770049912,-2131.5919115507363,-22.084972437603977,-246.58744464053206,-7.464308982790254,,-14038.008924747954,,,,,,,,9120,456,228,0,76,0.02966359463531913,0.3128879645791968,2.0178655783335369e-10,5.960464477539063e-08,0.029663594117543348,0.312887966632843,0.023241893853992224,0.23377004265785217,0.0024240072260991756,0.011526270769536495,0.01671351455781923,0.47739321283584907,4439.639401159758,2734.8627058256193,1901.5443612606791,0.0,0.0,0.0,0.0,51.720786075594496,203.82773987357945,0.39999999969549804,0.2936005962630029,0,0,9120,456,228,0,0,404,0,0,202,0,0,404,0,38400.000100000005,3120.0001,176.0001,0.0,0.0,0.045694986979166664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
manager_train,19,9600,-12840.095201344375,-2536.249500279412,-26.75019833613409,-418.1481180304131,-8.109250084154436,-8721.361486920616,-8721.361486920616,0.0,1.0,1.0,0.01614582323379466,0.47746727804738154,1.0,0.4,9600,480,240,0,83,0.04337675628404144,0.5908856545035525,2.017865618810418e-10,5.960464477539063e-08,0.04337675563486603,0.5908856391906738,0.05683406380315622,0.40342703461647034,0.0009629698761273175,0.005614499561488628,0.0189461806690192,0.47741774883577615,5506.008449685591,2735.1456228007887,3231.102314751328,0.0,0.0,0.0,0.0,65.94143612134965,298.5234459276077,0.4,0.3315152990973158,0,0,9600,480,240,0,0,452,0,0,226,0,0,452,0,38400.000100000005,3120.0001,188.0001,0.0,0.0,0.050048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
