stage,episode,global_step,episode_return,manager_return,mean_step_reward,min_step_reward,max_step_reward,eval_return,best_eval_return,eval_solver_failures,eval_power_success_rate,eval_gas_success_rate,eval_mean_voltage_rms_deviation_pu,eval_mean_gas_pressure_rms_deviation_bar,fast_buffer_size,slow_buffer_size,manager_buffer_size,solver_failures,gas_solve_count,mean_action_projection,max_action_projection,mean_slow_action_projection,max_slow_action_projection,mean_fast_action_projection,max_fast_action_projection,mean_ess_action_guard,max_ess_action_guard,mean_goal_change,max_goal_change,mean_voltage_rms_deviation_pu,mean_gas_pressure_rms_deviation_bar,voltage_deviation_cost,gas_pressure_deviation_cost,voltage_violation_cost,gas_pressure_violation_cost,pipe_velocity_violation_cost,source_capacity_violation_cost,gas_purchase_cost,interaction_reward_estimated_clips,manager_reward_clips,fast_total_insertions,slow_total_insertions,manager_total_insertions,fast_update_count,slow_update_count,manager_update_count,fast_actor_update_count,slow_actor_update_count,manager_actor_update_count,fast_critic_update_count,slow_critic_update_count,manager_critic_update_count,nonfinite_batch_count,fast_normalizer_count,slow_normalizer_count,manager_normalizer_count,mean_target_q_clipping_ratio,mean_reward_clipping_ratio,mean_actor_action_saturation_ratio
slow_pretrain,0,480,-159496.12509832624,-159496.12509832624,-332.28359395484614,-6762.053093601444,-22.78683242418361,,-inf,,,,,,480,24,12,0,77,0.2900215773503814,0.999319962553523,0.0,0.0,0.29002157897533226,0.9993199706077576,0.0,0.0,0.0,0.0,0.028415777447650663,0.5701620984688454,11741.390937448818,3901.191353520901,131163.92691871812,0.0,0.0,0.0,0.0,0,2,480,24,12,0,0,0,0,0,0,0,0,0,0,19200.0001,24.0001,0.0001,0.0,0.0,0.0
slow_pretrain,1,960,-133458.27471265045,-133458.27471265045,-278.038072318022,-2526.8302553799813,-32.32038652256823,,-inf,,,,,,960,48,24,0,75,0.2972878848157479,1.1068573781279751,0.0,0.0,0.2972878839354962,1.1068572998046875,0.0,0.0,0.0,0.0,0.02702809770086767,0.5699393193008746,10345.902358550697,3898.1590546375032,106548.3725503317,0.0,0.0,0.0,0.0,0,1,960,48,24,0,0,0,0,0,0,0,0,0,0,19200.0001,48.0001,0.0001,0.0,0.0,0.0
slow_pretrain,2,1440,-172277.99305234972,-172277.99305234972,-358.9124855257287,-3380.1409288356276,-25.659739659094978,,-inf,,,,,,1440,72,36,0,76,0.3022741127686636,1.0775612214985337,0.0,0.0,0.30227411283218925,1.0775612592697144,0.0,0.0,0.0,0.0,0.029159889427325524,0.5696096909779329,12045.14293817223,3893.6312824287033,143491.95955611012,0.0,0.0,0.0,0.0,0,2,1440,72,36,0,0,0,0,0,0,0,0,0,0,19200.0001,72.0001,0.0001,0.0,0.0,0.0
slow_pretrain,3,1920,-119588.38191694865,-119588.38191694865,-249.14246232697624,-2524.2328761849485,-32.91921115813633,,-inf,,,,,,1920,96,48,0,80,0.3188685035752368,1.096814879147698,0.0,0.0,0.31886850502730035,1.0968148708343506,0.0,0.0,0.0,0.0,0.02808373445805259,0.5696515540570167,11253.35231808007,3894.203931425491,92499.75531783959,0.0,0.0,0.0,0.0,0,1,1920,96,48,0,0,0,0,0,0,0,0,0,0,19200.0001,96.0001,0.0001,0.0,0.0,0.0
slow_pretrain,4,2400,-276453.2020169142,-276453.2020169142,-575.9441708685717,-2736.4043939044477,-14.000246316622997,-223218.3502490951,-223218.3502490951,0.0,1.0,1.0,0.03332903887271146,0.6317724034373008,2400,120,60,0,83,0.2842903629740886,0.9023160018074857,3.104408582051595e-11,1.4901161193847656e-08,0.2842903625530501,0.9023160338401794,0.007819322248299917,0.187663733959198,0.0,0.0,0.033622708109873334,0.5782423600342317,16386.861672510586,4016.6585215015502,242562.01487546283,50.43900808149839,0.0,0.0,0.0,0,3,2400,120,60,0,0,0,0,0,0,0,0,0,0,19200.0001,120.0001,0.0001,0.0,0.0,0.0
slow_pretrain,5,2880,-134529.8465091917,-134529.8465091917,-280.2705135608161,-1942.4977741310838,-17.433554282591718,,-223218.3502490951,,,,,,2880,144,72,0,75,0.2873430190201576,1.1028033035265132,1.2029585326478454e-10,2.9802322387695312e-08,0.2873430193285458,1.1028032302856445,0.3773824047918121,1.1127063035964966,0.0,0.0,0.03051521686110521,0.6034709799107005,12519.982194244163,4388.100536326583,103492.18078296389,679.71351111685,0.0,0.0,0.0,0,2,2880,144,72,0,0,0,0,0,0,0,0,0,0,19200.0001,144.0001,0.0001,0.0,0.0,0.0
slow_pretrain,6,3360,-112684.29002645692,-112684.29002645692,-234.75893755511848,-1577.2649354722234,-29.440214323886092,,-223218.3502490951,,,,,,3360,168,84,0,80,0.29309210921486983,1.1019058614514372,2.483527043161312e-10,5.960464477539063e-08,0.2930921092047356,1.1019059419631958,0.5456446347137293,1.2550766468048096,0.0,0.0,0.0312861645935636,0.6000443901318141,13139.981836195648,4366.185901308743,81108.71293128356,1162.573331550423,0.0,0.0,0.0,0,1,3360,168,84,0,0,0,0,0,0,0,0,0,0,19200.0001,168.0001,0.0001,0.0,0.0,0.0
slow_pretrain,7,3840,-131777.1497732484,-131777.1497732484,-274.5357286942678,-3557.5946501226813,-36.327267451463165,,-223218.3502490951,,,,,,3840,192,96,0,81,0.3026007918163113,1.0925178304345424,7.450580920738877e-10,2.682209014892578e-07,0.3026007924733373,1.0925178527832031,0.45900972311695415,0.9083287715911865,0.0,0.0,0.03124689562726839,0.5980861307827574,13093.177162511165,4341.604223517223,100413.64144088989,1200.4440455512815,0.0,0.0,0.0,0,1,3840,192,96,0,0,0,0,0,0,0,0,0,0,19200.0001,192.0001,0.0001,0.0,0.0,0.0
slow_pretrain,8,4320,-81565.1519205425,-81565.1519205425,-169.92739983446356,-761.7923554403374,-29.029274744276705,,-223218.3502490951,,,,,,4320,216,108,0,85,0.30878004810479637,1.1035212141811863,3.725290377102712e-10,1.1920928955078125e-07,0.3087800467348037,1.1035212278366089,0.3455674232294162,0.9709909558296204,0.0,0.0,0.03013481062636966,0.564062687058626,12110.573637316385,3867.9808094862424,52642.16831811225,582.8208845932427,0.0,0.0,0.0,0,0,4320,216,108,0,0,0,0,0,0,0,0,0,0,19200.0001,216.0001,0.0001,0.0,0.0,0.0
slow_pretrain,9,4800,-115363.63072965053,-115363.63072965053,-240.3408973534385,-2279.736749603666,-27.616094584443143,-122280.83059572545,-122280.83059572545,0.0,1.0,1.0,0.03048244661292064,0.5970998354121057,4800,240,120,0,80,0.28173765777372256,1.0935366528494723,5.666000409595048e-10,1.4901161193847656e-07,0.2817376577450583,1.0935367345809937,0.6894465448955694,1.1085045337677002,0.0,0.0,0.028596838679358066,0.5907597544919871,11432.028428743492,4223.783461537359,85408.30889638455,786.4429240711229,0.0,0.0,0.0,0,1,4800,240,120,0,0,0,0,0,0,0,0,0,0,19200.0001,240.0001,0.0001,0.0,0.0,0.0
