stage,episode,global_step,episode_return,manager_return,mean_step_reward,min_step_reward,max_step_reward,eval_return,best_eval_return,eval_solver_failures,eval_power_success_rate,eval_gas_success_rate,eval_mean_voltage_rms_deviation_pu,eval_mean_gas_pressure_rms_deviation_bar,fast_buffer_size,slow_buffer_size,manager_buffer_size,solver_failures,gas_solve_count,mean_action_projection,max_action_projection,mean_slow_action_projection,max_slow_action_projection,mean_fast_action_projection,max_fast_action_projection,mean_ess_action_guard,max_ess_action_guard,mean_goal_change,max_goal_change,mean_voltage_rms_deviation_pu,mean_gas_pressure_rms_deviation_bar,voltage_deviation_cost,gas_pressure_deviation_cost,voltage_violation_cost,gas_pressure_violation_cost,pipe_velocity_violation_cost,source_capacity_violation_cost,gas_purchase_cost,interaction_reward_estimated_clips,manager_reward_clips,fast_total_insertions,slow_total_insertions,manager_total_insertions,fast_update_count,slow_update_count,manager_update_count,fast_actor_update_count,slow_actor_update_count,manager_actor_update_count,fast_critic_update_count,slow_critic_update_count,manager_critic_update_count,nonfinite_batch_count,fast_normalizer_count,slow_normalizer_count,manager_normalizer_count,mean_target_q_clipping_ratio,mean_reward_clipping_ratio,mean_actor_action_saturation_ratio
manager_train,0,480,-423784.4842000652,-7930.645566766741,-882.8843420834684,-6853.10305364006,-16.055577873025356,,-inf,,,,,,480,24,12,0,77,0.058416802971344065,0.5546110188797282,0.0,0.0,0.058416803297586736,0.5546110272407532,0.0,0.0,0.2611735896630721,0.32130539417266846,0.03447050912076121,0.5692772748290819,20724.5574807989,3889.060514507762,388642.013136112,0.0,0.0,0.0,0.0,0,0,480,24,12,0,0,0,0,0,0,0,0,0,0,7200.0001,360.0001,0.0001,0.0,0.0,0.0
manager_train,1,960,-184464.88139702313,-5495.731611074343,-384.3018362437983,-5140.725977910025,-16.645630029924277,,-inf,,,,,,960,48,24,0,75,0.05787400536721772,0.3755429054385116,0.0,0.0,0.05787400629681846,0.37554287910461426,0.0,0.0,0.25594891201366077,0.3410964608192444,0.02706646911729529,0.568176435832851,11687.88217407813,3874.0253731822736,159161.1222418142,0.0,0.0,0.0,0.0,0,0,960,48,24,0,0,0,0,0,0,0,0,0,0,7200.0001,360.0001,0.0001,0.0,0.0,0.0
manager_train,2,1440,-205810.53491219747,-5335.584530874499,-428.7719477337448,-5525.81202618016,-15.726817425188834,,-inf,,,,,,1440,72,36,0,76,0.07391254174486277,0.5666906966884194,0.0,0.0,0.07391254156633902,0.5666906833648682,0.0,0.0,0.2594654289158908,0.32116955518722534,0.026248631852377614,0.5705366480440988,12174.816923482009,3906.2966406868213,180419.9335923937,0.0,0.0,0.0,0.0,0,0,1440,72,36,0,0,0,0,0,0,0,0,0,0,7200.0001,360.0001,0.0001,0.0,0.0,0.0
manager_train,3,1920,-196052.91334900263,-5790.041607357074,-408.44356947708826,-7767.32460090717,-16.565427828590003,,-inf,,,,,,1920,96,48,0,80,0.05559369757467166,0.5312005758758052,0.0,0.0,0.05559369717375375,0.5312005281448364,0.0,0.0,0.26753382655707275,0.3520103991031647,0.030115131619119287,0.5701397852722689,14509.81203590716,3900.9370912869763,166957.18572315804,0.0,0.0,0.0,0.0,0,0,1920,96,48,0,0,0,0,0,0,0,0,0,0,7200.0001,360.0001,0.0001,0.0,0.0,0.0
manager_train,4,2400,-255774.48711208237,-6307.217527229286,-532.8635148168386,-12999.22069219578,-16.45169829232311,-15403.815461843262,-15403.815461843262,0.0,1.0,1.0,0.01645204457976356,0.5451347995582835,2400,120,60,0,83,0.08545837947237915,0.3595031375263492,1.5522042910257975e-11,7.450580596923828e-09,0.08545838004210964,0.3595031499862671,0.15462604785958925,0.6542194485664368,0.19160346348177304,0.3304172456264496,0.028576555980217768,0.5695087137786657,14014.827874055367,3892.4019839628904,228561.73370389084,0.0,0.0,0.0,0.0,0,0,2400,120,60,0,0,0,0,0,0,0,0,0,0,7200.0001,360.0001,8.0001,0.0,0.0,0.0
manager_train,5,2880,-24219.4016292191,-3530.159148515967,-50.45708672753979,-536.6890705681528,-16.804094015581356,,-15403.815461843262,,,,,,2880,144,72,0,75,0.13912777513430144,0.43991387662740156,4.967053731282552e-10,1.7881393432617188e-07,0.13912777649238706,0.4399138391017914,0.8640453939636549,1.1119188070297241,0.12052005935798991,0.19770552217960358,0.016793387982709355,0.5495705712131792,4229.221461795666,3625.291190907274,9164.597010923248,0.0,0.0,0.0,0.0,0,0,2880,144,72,0,0,0,0,0,0,0,0,0,0,7200.0001,360.0001,20.0001,0.0,0.0,0.0
manager_train,6,3360,-25223.33342028464,-3715.65293980927,-52.548611292259665,-382.1974553560569,-17.639609365867308,,-15403.815461843262,,,,,,3360,168,84,0,80,0.11785768333536122,0.35151251782799936,3.8805119303061037e-11,1.862645149230957e-08,0.11785768260403226,0.3515125513076782,0.9330787534515063,1.153387188911438,0.13143432512879372,0.2365805208683014,0.018953367490110836,0.5485377996488606,5276.434706043673,3611.729014354286,9257.033845966429,0.0,0.0,0.0,0.0,0,0,3360,168,84,0,0,0,0,0,0,0,0,0,0,7200.0001,360.0001,32.0001,0.0,0.0,0.0
manager_train,7,3840,-21921.85833396207,-3565.0962948974984,-45.670538195754325,-318.3167637168007,-18.083503816626084,,-15403.815461843262,,,,,,3840,192,96,0,81,0.1240849049398144,0.40511742336676626,2.0178655783335369e-10,5.960464477539063e-08,0.12408490544185043,0.4051174223423004,0.9283316060900688,1.1336970329284668,0.13594544746659018,0.23660454154014587,0.018277701529042525,0.5515169080566115,4818.213336649667,3651.071008556365,6323.886823174904,0.010611487783123754,0.0,0.0,0.0,0,0,3840,192,96,0,0,0,0,0,0,0,0,0,0,7200.0001,360.0001,44.0001,0.0,0.0,0.0
manager_train,8,4320,-15681.930979697096,-3143.35201226808,-32.67068954103561,-126.50677211248714,-17.62174081512615,,-15403.815461843262,,,,,,4320,216,108,0,85,0.10945758158374636,0.36857269638236345,1.2417635519383168e-10,5.960464477539063e-08,0.10945758122640352,0.3685726821422577,0.9204971715807915,1.0945448875427246,0.15713293918154456,0.28813436627388,0.01689237774153991,0.5494824278366518,3958.670493521473,3624.2980018231424,1300.2963292681425,0.0,0.0,0.0,0.0,0,0,4320,216,108,0,0,0,0,0,0,0,0,0,0,7200.0001,360.0001,56.0001,0.0,0.0,0.0
manager_train,9,4800,-23780.174691994205,-3605.862730781222,-49.542030608321255,-339.7138793595372,-17.61491613217645,-30383.765332867217,-15403.815461843262,0.0,1.0,1.0,0.018242758804489875,0.5495422390534832,4800,240,120,0,80,0.11329373893735534,0.38111614679070593,1.2027416100105863e-17,5.773159728050814e-15,0.11329373915990194,0.3811161518096924,0.9329103777805964,1.164824366569519,0.16904840618371964,0.2687295377254486,0.018023848232459328,0.5503938378442564,4782.273947763491,3636.7679496638675,8383.102724110635,0.02853192709331271,0.0,0.0,0.0,0,0,4800,240,120,0,0,0,0,0,0,0,0,0,0,7200.0001,360.0001,68.0001,0.0,0.0,0.0
