stage,episode,global_step,episode_return,manager_return,mean_step_reward,min_step_reward,max_step_reward,eval_return,best_eval_return,eval_solver_failures,eval_power_success_rate,eval_gas_success_rate,eval_mean_voltage_rms_deviation_pu,eval_mean_gas_pressure_rms_deviation_bar,eval_terminal_soc_violation_rate,eval_max_terminal_soc_deviation,fast_buffer_size,slow_buffer_size,manager_buffer_size,solver_failures,gas_solve_count,mean_action_projection,max_action_projection,mean_slow_action_projection,max_slow_action_projection,mean_fast_action_projection,max_fast_action_projection,mean_ess_action_guard,max_ess_action_guard,mean_goal_change,max_goal_change,mean_voltage_rms_deviation_pu,mean_gas_pressure_rms_deviation_bar,voltage_deviation_cost,gas_pressure_deviation_cost,voltage_violation_cost,gas_pressure_violation_cost,pipe_velocity_violation_cost,source_capacity_violation_cost,gas_purchase_cost,terminal_soc_cost,terminal_soc_dense_cost,terminal_soc_max_deviation,terminal_soc_rms_deviation,interaction_reward_estimated_clips,manager_reward_clips,fast_total_insertions,slow_total_insertions,manager_total_insertions,fast_update_count,slow_update_count,manager_update_count,fast_actor_update_count,slow_actor_update_count,manager_actor_update_count,fast_critic_update_count,slow_critic_update_count,manager_critic_update_count,nonfinite_batch_count,fast_normalizer_count,slow_normalizer_count,manager_normalizer_count,mean_target_q_clipping_ratio,mean_reward_clipping_ratio,mean_actor_action_saturation_ratio,fast_actor_action_abs_mean,slow_actor_action_abs_mean,fast_actor_action_saturation_ratio,slow_actor_action_saturation_ratio,fast_actor_reference_deviation_rms,slow_actor_reference_deviation_rms,fast_curtailment_action_mean,slow_raw_to_guard_projection_rms,slow_guard_to_executed_projection_rms,slow_global_safety_group_share,slow_role_specific_group_share,joint_evaluations_without_improvement,early_stop_requested
fast_pretrain,0,480,-413804.886416137,-7038.219349385953,-862.0935133669517,-27092.144706826624,-14.956729775712576,,-inf,,,,,,,,480,24,12,0,77,0.04922896091688919,0.7232492173285063,0.0,0.0,0.049228961137123405,0.7232492566108704,0.0,0.0,0.0,0.0,0.03269391204924868,0.5697679796651641,18282.06557095608,3895.6330092968938,382521.0254074942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,480,24,12,0,0,0,0,0,0,0,0,0,0,480.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
fast_pretrain,1,960,-413015.24864548806,-7361.479454805022,-860.4484346781004,-23160.62864326567,-15.034086194373808,,-inf,,,,,,,,960,48,24,0,75,0.05254587969477699,0.5470844438321412,0.0,0.0,0.052545879948108144,0.5470844507217407,0.0,0.0,0.0,0.0,0.03367472554244597,0.5697584008595095,19131.377510918923,3895.502465560737,380752.1055502823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,960,48,24,0,0,0,0,0,0,0,0,0,0,960.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
fast_pretrain,2,1440,-402819.86424955144,-6992.846532894477,-839.2080505198991,-23138.635582980525,-14.017596389871578,,-inf,,,,,,,,1440,72,36,0,76,0.05066367063874751,0.6591144043018587,0.0,0.0,0.05066367014078423,0.659114420413971,0.0,0.0,0.0,0.0,0.03226465613660378,0.5697489995849473,18151.231632875708,3895.373660635105,371506.0927830341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1440,72,36,0,0,0,0,0,0,0,0,0,0,1440.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
fast_pretrain,3,1920,-254335.82731284612,-6183.130916803309,-529.8663069017622,-16974.92660315061,-10.393842280120154,,-inf,,,,,,,,1920,96,48,0,80,0.01999699397836238,0.37710451850365845,0.0,0.0,0.019996993858755256,0.3771045207977295,0.0,0.0,0.0,0.0,0.030181802328230267,0.5697582467873458,15255.924550755804,3895.500219396708,226235.153302173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1920,96,48,0,0,0,0,0,0,0,0,0,0,1920.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
fast_pretrain,4,2400,-263552.8443611924,-7333.8477434705255,-549.0684257524845,-7198.776469998302,-21.25795509413862,-236642.38514149896,-236642.38514149896,0.0,1.0,1.0,0.03435507453407866,0.5697483961743194,0.0,0.0,2400,120,60,0,83,0.006047858080078095,0.25076829001736384,0.0,0.0,0.00604785808827728,0.2507683038711548,0.0,0.0,0.0,0.0,0.033744512953111726,0.5697433837522167,17363.62791755096,3895.2969350733188,233569.24863721087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2400,120,60,0,0,0,0,0,0,0,0,0,0,2400.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
fast_pretrain,5,2880,-244431.19269875245,-7212.161445495534,-509.2316514557348,-7143.873407656236,-20.50121031943622,,-236642.38514149896,,,,,,,,2880,144,72,0,75,0.006291438525114282,0.23385817495760564,0.0,0.0,0.006291438639163971,0.2338581681251526,0.0,0.0,0.0,0.0,0.03328424608086455,0.5697682378295743,16826.099163559193,3895.6369160664135,215071.45279304558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2880,144,72,0,0,0,0,0,0,0,0,0,0,2880.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
fast_pretrain,6,3360,-301288.1886332263,-7792.347427448535,-627.6837263192218,-8849.624801727337,-19.668105462009034,,-236642.38514149896,,,,,,,,3360,168,84,0,80,0.006794181128676432,0.24899169447969444,0.0,0.0,0.006794181206108381,0.2489917129278183,0.0,0.0,0.0,0.0,0.03451132339090425,0.5697473266257004,18434.754221395033,3895.3509927693185,270217.06575890933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3360,168,84,0,0,0,0,0,0,0,0,0,0,3360.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
fast_pretrain,7,3840,-338480.8507255492,-7931.034194357246,-705.1684390115603,-14076.704174480892,-19.862676614024796,,-236642.38514149896,,,,,,,,3840,192,96,0,81,0.007936076373658212,0.21654544160522937,0.0,0.0,0.00793607613692681,0.2165454626083374,0.0,0.0,0.0,0.0,0.03476938327404476,0.5697482680592505,18982.59488585606,3895.3637477463394,306690.7477084435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3840,192,96,0,0,0,0,0,0,0,0,0,0,3840.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
fast_pretrain,8,4320,-303413.79546972335,-7694.085299593128,-632.1120738952571,-7139.561613730438,-20.673737284131057,,-236642.38514149896,,,,,,,,4320,216,108,0,85,0.004427260225724633,0.14482178525348155,0.0,0.0,0.004427259974181652,0.14482176303863525,0.0,0.0,0.0,0.0,0.03400572514310838,0.5697528789035535,17899.17302380152,3895.4265908481443,272901.8002254448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4320,216,108,0,0,0,0,0,0,0,0,0,0,4320.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
fast_pretrain,9,4800,-317571.27257305745,-7685.284213657093,-661.6068178605361,-16953.525769354907,-21.384078633254884,-266021.5148650354,-266021.5148650354,0.0,1.0,1.0,0.03329564362706652,0.5697483961743194,0.0,0.0,4800,240,120,0,80,0.006155754247360965,0.23753781418350622,0.0,0.0,0.0061557550254898764,0.23753780126571655,0.0,0.0,0.0,0.0,0.03440500481880496,0.5697458630857741,18487.12319719955,3895.3306737781504,286269.731220335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4800,240,120,0,0,0,0,0,0,0,0,0,0,4800.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
fast_pretrain,10,5280,-414910.4264308028,-9022.588973839342,-864.3967217308398,-13400.143378874895,-17.003506935588103,,-266021.5148650354,,,,,,,,5280,264,132,0,80,0.0973853399770705,0.6670336388259426,0.0,0.0,0.09738533921578589,0.6670336127281189,0.0,0.0,0.0,0.0,0.03646778393632819,0.5697677720413594,20237.79463166255,3895.6301524042347,382040.7784675488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5280,264,132,281,0,0,141,0,0,281,0,0,0,5280.0001,0.0001,0.0001,0.0,0.0,0.25003809286347517,0.7374431247829546,0.0,0.25003809286347517,0.0,0.9196010899881945,0.0,-0.28159155384208084,0.0,0.0,0.0,0.0,0,0.0
fast_pretrain,11,5760,-360169.9658606019,-8029.675809902478,-750.3540955429199,-3307.0807070683304,-16.35924933000744,,-266021.5148650354,,,,,,,,5760,288,144,0,81,0.10748648792021435,0.6785747524493807,0.0,0.0,0.10748648873559433,0.6785747408866882,0.0,0.0,0.0,0.0,0.03129990085906199,0.5697708873912195,16303.154367795865,3895.6729551843587,330047.486781471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5760,288,144,762,0,0,381,0,0,762,0,0,0,5760.0001,0.0001,0.0001,0.0,0.0,0.11669514973958334,0.49632118406395115,0.0,0.11669514973958334,0.0,0.989412709325552,0.0,0.13294876059905317,0.0,0.0,0.0,0.0,0,0.0
fast_pretrain,12,6240,-14596.929762352916,-2001.1969815469631,-30.410270338235232,-65.36920548212753,-15.09590355161813,,-266021.5148650354,,,,,,,,6240,312,156,0,78,0.01869102124479464,0.225150324219452,0.0,0.0,0.018691021277724453,0.22515034675598145,0.0,0.0,0.0,0.0,0.011483002527500554,0.569758042553422,1888.556898197452,3895.496970846947,1.4312862816287393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6240,312,156,1243,0,0,622,0,0,1243,0,0,0,6240.0001,0.0001,0.0001,0.0,0.0,0.015745550765041492,0.3313651230819987,0.0,0.015745550765041492,0.0,0.8517482612142919,0.0,0.054390785428289616,0.0,0.0,0.0,0.0,0,0.0
fast_pretrain,13,6720,-13853.71120016929,-1920.6082546280052,-28.861898333686028,-68.26705173795025,-12.390686670733338,,-266021.5148650354,,,,,,,,6720,336,168,0,83,0.009075737950200882,0.24342165979798336,0.0,0.0,0.009075737802777439,0.24342167377471924,0.0,0.0,0.0,0.0,0.011375315768383217,0.5697471965168719,1952.2110622663265,3895.3491050832613,46.02012560961147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6720,336,168,1724,0,0,862,0,0,1724,0,0,0,6720.0001,0.0001,0.0001,0.0,0.0,0.010390218098958333,0.33174936920404435,0.0,0.010390218098958333,0.0,0.785559016217788,0.0,-0.04954960698911843,0.0,0.0,0.0,0.0,0,0.0
fast_pretrain,14,7200,-14137.12691635309,-1904.3719318654776,-29.45234774240226,-164.14166618997535,-12.364328863572378,-13734.888182939025,-13734.888182939025,0.0,1.0,1.0,0.011347697256738726,0.5697483961743194,0.0,0.0,7200,360,180,0,82,0.00648973132317223,0.39080239551822205,0.0,0.0,0.0064897313714027405,0.39080238342285156,0.0,0.0,0.0,0.0,0.012801009161353346,0.5697547103888245,2454.706880595466,3895.4518234903444,211.1964317236928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7200,360,180,2205,0,0,1103,0,0,2205,0,0,0,7200.0001,0.0001,0.0001,0.0,0.0,0.010096886345954357,0.3314051949631624,0.0,0.010096886345954357,0.0,0.7835284328064978,0.0,-0.05249489782691095,0.0,0.0,0.0,0.0,0,0.0
fast_pretrain,15,7680,-15214.16673542214,-1997.434130674593,-31.696180698796134,-348.71771247266383,-14.148528571775625,,-13734.888182939025,,,,,,,,7680,384,192,0,81,0.013983905437073282,0.3687601502379444,0.0,0.0,0.013983905154357974,0.3687601387500763,0.0,0.0,0.0,0.0,0.013160629108294068,0.569741605581702,2590.9050667247375,3895.272708954919,322.0652206017998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7680,384,192,2686,0,0,1343,0,0,2686,0,0,0,7680.0001,0.0001,0.0001,0.0,0.0,0.011200968424479167,0.3483081296086311,0.0,0.011200968424479167,0.0,0.8334713441630205,0.0,0.010372338427502351,0.0,0.0,0.0,0.0,0,0.0
fast_pretrain,16,8160,-15039.085435520894,-2019.5345815549472,-31.331427990668523,-66.02853402489296,-15.150831405657122,,-13734.888182939025,,,,,,,,8160,408,204,0,83,0.04299431154692153,0.4390600099463883,0.0,0.0,0.042994311762352785,0.4390600323677063,0.0,0.0,0.0,0.0,0.01361503770230925,0.569753294512429,2679.3131151095176,3895.4325362163368,7.926750722574149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8160,408,204,3167,0,0,1584,0,0,3167,0,0,0,8160.0001,0.0001,0.0001,0.0,0.0,0.01244408065352697,0.365500090156848,0.0,0.01244408065352697,0.0,0.8453732481635953,0.0,0.017649540841420997,0.0,0.0,0.0,0.0,0,0.0
fast_pretrain,17,8640,-15437.401772473939,-2034.161408676872,-32.161253692654014,-269.31670714143326,-13.558602553875065,,-13734.888182939025,,,,,,,,8640,432,216,0,80,0.01196039881656468,0.3049513758532552,0.0,0.0,0.011960398964583873,0.30495139956474304,0.0,0.0,0.0,0.0,0.013347202966072747,0.5697595860147886,2531.219715903302,3895.518618101116,361.9470840599651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8640,432,216,3648,0,0,1824,0,0,3648,0,0,0,8640.000100000001,0.0001,0.0001,0.0,0.0,0.013097127278645834,0.3896438238521417,0.0,0.013097127278645834,0.0,0.8550059941907724,0.0,0.011007133040887613,0.0,0.0,0.0,0.0,0,0.0
fast_pretrain,18,9120,-15394.15677189482,-2025.070834789941,-32.07115994144755,-190.04190201871583,-13.672854040187135,,-13734.888182939025,,,,,,,,9120,456,228,0,76,0.025827921239485283,0.39411427717249614,0.0,0.0,0.02582792132549609,0.39411425590515137,0.0,0.0,0.0,0.0,0.01310576271380814,0.569766491567808,2461.8649985015018,3895.6125344470233,324.2213464907159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9120,456,228,4129,0,0,2065,0,0,4129,0,0,0,9120.000100000001,0.0001,0.0001,0.0,0.0,0.014161169281639005,0.41089622979342194,0.0,0.014161169281639005,0.0,0.8499940401290957,0.0,-0.0180839308869882,0.0,0.0,0.0,0.0,0,0.0
