step,hour,reward,terminated,truncated,solver_failed,power_converged,gas_converged,gas_solved_this_step,gas_solve_count,gas_state_age,slow_action_applied,action_projection_magnitude,vm_min_pu,vm_max_pu,max_line_loading_percent,gas_pressure_min_bar,gas_pressure_max_bar,gas_pressure_mean_bar,max_pipe_velocity_m_per_s,soc_min,soc_max,gfg_total_p_mw,p2g_total_p_mw,compressor_total_p_mw,gfg_total_mdot_kg_s,p2g_total_mdot_kg_s,renewable_available_mw,renewable_used_mw,renewable_curtailment_mw,source_capacity_violation_max_kg_s,ess_soc_0,ess_soc_1,ess_soc_2,exception
1.0,0.05,-15.128456731993031,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,6.661338147750939e-16,0.9790976175467245,1.0059411639210105,14.07693999556997,3.9082298017501933,4.938959943088637,4.533742700298982,0.9836225585919789,0.5,0.5,1.0999999344348907,0.7999999523162842,0.0013914010120032868,0.058771926321481406,0.010999999344348907,1.7468440653410047,1.7293756153167927,0.017468450024211844,0.0,0.5,0.5,0.5,
2.0,0.1,-13.289228517527878,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,6.661338147750939e-16,0.9794063063947387,1.0066933997797554,14.037042814533457,3.9082298017501933,4.938959943088637,4.533742700298982,0.9836225585919789,0.5,0.5,1.0999999344348907,0.7999999523162842,0.0013914010120032868,0.058771926321481406,0.010999999344348907,1.789813012941702,1.7719148732109797,0.01789813973072222,0.0,0.5,0.5,0.5,
3.0,0.15000000000000002,-12.88784081872782,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,6.661338147750939e-16,0.9805978738859971,1.007111263956957,13.914314211545516,3.9082298017501933,4.938959943088637,4.533742700298982,0.9836225585919789,0.5,0.5,1.0999999344348907,0.7999999523162842,0.0013914010120032868,0.058771926321481406,0.010999999344348907,1.8773097124754852,1.8585366052800563,0.01877310719542892,0.0,0.5,0.5,0.5,
4.0,0.2,-12.74400422682342,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,6.661338147750939e-16,0.9809359865336836,1.0069847144837012,13.70543769424615,3.9082298017501933,4.938959943088637,4.533742700298982,0.9836225585919789,0.5,0.5,1.0999999344348907,0.7999999523162842,0.0013914010120032868,0.058771926321481406,0.010999999344348907,1.8520250845958555,1.83350482381486,0.018520260780995307,0.0,0.5,0.5,0.5,
5.0,0.25,-12.637009150549378,0.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,0.0,6.661338147750939e-16,0.9810388786287478,1.0070232083378379,13.652693688714212,3.9082298017501933,4.938959943088637,4.533742700298982,0.9836225585919789,0.5,0.5,1.0999999344348907,0.7999999523162842,0.0013914010120032868,0.058771926321481406,0.010999999344348907,1.8636656045375544,1.8450289384946972,0.018636666042856916,0.0,0.5,0.5,0.5,
6.0,0.30000000000000004,-13.439921039622988,0.0,0.0,0.0,1.0,1.0,0.0,2.0,5.0,0.0,6.661338147750939e-16,0.9796880186884079,1.0068918143071968,14.275768919503568,3.9082298017501933,4.938959943088637,4.533742700298982,0.9836225585919789,0.5,0.5,1.0999999344348907,0.7999999523162842,0.0013914010120032868,0.058771926321481406,0.010999999344348907,1.8327755288769776,1.8144477637564336,0.018327765120543866,0.0,0.5,0.5,0.5,
7.0,0.35000000000000003,-14.25770341681627,0.0,0.0,0.0,1.0,1.0,0.0,2.0,6.0,0.0,6.661338147750939e-16,0.9785543867822908,1.006820858207244,14.741718865142328,3.9082298017501933,4.938959943088637,4.533742700298982,0.9836225585919789,0.5,0.5,1.0999999344348907,0.7999999523162842,0.0013914010120032868,0.058771926321481406,0.010999999344348907,1.7915826490934732,1.7736668129917403,0.017915836101732998,0.0,0.5,0.5,0.5,
8.0,0.4,-13.936677269498896,0.0,0.0,0.0,1.0,1.0,0.0,2.0,7.0,0.0,6.661338147750939e-16,0.978686474246397,1.0065825304801599,14.710620106950264,3.9082298017501933,4.938959943088637,4.533742700298982,0.9836225585919789,0.5,0.5,1.0999999344348907,0.7999999523162842,0.0013914010120032868,0.058771926321481406,0.010999999344348907,1.8129030245079572,1.7947739845377078,0.01812903997024924,0.0,0.5,0.5,0.5,
9.0,0.45,-13.8104364414882,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,6.661338147750939e-16,0.9784014574803926,1.0059190254231551,14.746741492421087,3.9081921712675953,4.938902968956021,4.533686826494301,0.9903969719769341,0.5,0.5,1.0999999344348907,0.7999999523162842,0.0014074728264960147,0.058771926321481406,0.010999999344348907,1.7840747379440225,1.7662339809940595,0.017840756949962913,0.0,0.5,0.5,0.5,
10.0,0.5,-13.684380788256542,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,6.661338147750939e-16,0.9787512633700994,1.0054145911464303,14.6099615433898,3.9081921712675953,4.938902968956021,4.533686826494301,0.9903969719769341,0.5,0.5,1.0999999344348907,0.7999999523162842,0.0014074728264960147,0.058771926321481406,0.010999999344348907,1.7424935577739862,1.7250686128487824,0.01742494492520372,0.0,0.5,0.5,0.5,
11.0,0.55,-13.749317327052037,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,6.661338147750939e-16,0.9783388048996949,1.0060154944459399,14.75475030210425,3.9081921712675953,4.938902968956021,4.533686826494301,0.9903969719769341,0.5,0.5,1.0999999344348907,0.7999999523162842,0.0014074728264960147,0.058771926321481406,0.010999999344348907,1.8050681662348091,1.7870174748893208,0.018050691345488305,0.0,0.5,0.5,0.5,
12.0,0.6000000000000001,-13.466039963804072,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,6.661338147750939e-16,0.9793492165033401,1.006439612809344,14.460080547297796,3.9081921712675953,4.938902968956021,4.533686826494301,0.9903969719769341,0.5,0.5,1.0999999344348907,0.7999999523162842,0.0014074728264960147,0.058771926321481406,0.010999999344348907,1.8278532964314307,1.809574753661747,0.018278542769683485,0.0,0.5,0.5,0.5,
13.0,0.65,-14.187848294689713,0.0,0.0,0.0,1.0,1.0,0.0,3.0,4.0,0.0,6.661338147750939e-16,0.9782326136835302,1.0060524280823417,14.783044021623146,3.9081921712675953,4.938902968956021,4.533686826494301,0.9903969719769341,0.5,0.5,1.0999999344348907,0.7999999523162842,0.0014074728264960147,0.058771926321481406,0.010999999344348907,1.7461060488308688,1.7286449789757174,0.01746106985515146,0.0,0.5,0.5,0.5,
14.0,0.7000000000000001,-13.94194563422488,0.0,0.0,0.0,1.0,1.0,0.0,3.0,5.0,0.0,6.661338147750939e-16,0.979019830667907,1.0068625174267942,14.652408194863167,3.9081921712675953,4.938902968956021,4.533686826494301,0.9903969719769341,0.5,0.5,1.0999999344348907,0.7999999523162842,0.0014074728264960147,0.058771926321481406,0.010999999344348907,1.826684332031051,1.8084174789116423,0.018266853119408875,0.0,0.5,0.5,0.5,
15.0,0.75,-13.942208472475834,0.0,0.0,0.0,1.0,1.0,0.0,3.0,6.0,0.0,6.661338147750939e-16,0.9787481006307914,1.0067851537078567,14.56223179020908,3.9081921712675953,4.938902968956021,4.533686826494301,0.9903969719769341,0.5,0.5,1.0999999344348907,0.7999999523162842,0.0014074728264960147,0.058771926321481406,0.010999999344348907,1.7953066623267948,1.7773535860727514,0.017953076254043375,0.0,0.5,0.5,0.5,
16.0,0.8,-13.704895258142555,0.0,0.0,0.0,1.0,1.0,0.0,3.0,7.0,0.0,6.661338147750939e-16,0.979005594630657,1.0063398411220263,14.367853223299795,3.9081921712675953,4.938902968956021,4.533686826494301,0.9903969719769341,0.5,0.5,1.0999999344348907,0.7999999523162842,0.0014074728264960147,0.058771926321481406,0.010999999344348907,1.7590440365352769,1.7414535867336762,0.01759044980160031,0.0,0.5,0.5,0.5,
