stage,episode,global_step,episode_return,manager_return,mean_step_reward,min_step_reward,max_step_reward,eval_return,best_eval_return,eval_solver_failures,eval_power_success_rate,eval_gas_success_rate,eval_mean_voltage_rms_deviation_pu,eval_mean_gas_pressure_rms_deviation_bar,fast_buffer_size,slow_buffer_size,manager_buffer_size,solver_failures,gas_solve_count,mean_action_projection,max_action_projection,mean_slow_action_projection,max_slow_action_projection,mean_fast_action_projection,max_fast_action_projection,mean_ess_action_guard,max_ess_action_guard,mean_goal_change,max_goal_change,mean_voltage_rms_deviation_pu,mean_gas_pressure_rms_deviation_bar,voltage_deviation_cost,gas_pressure_deviation_cost,voltage_violation_cost,gas_pressure_violation_cost,pipe_velocity_violation_cost,source_capacity_violation_cost,gas_purchase_cost,interaction_reward_estimated_clips,manager_reward_clips,fast_total_insertions,slow_total_insertions,manager_total_insertions,fast_update_count,slow_update_count,manager_update_count,fast_actor_update_count,slow_actor_update_count,manager_actor_update_count,fast_critic_update_count,slow_critic_update_count,manager_critic_update_count,nonfinite_batch_count,fast_normalizer_count,slow_normalizer_count,manager_normalizer_count,mean_target_q_clipping_ratio,mean_reward_clipping_ratio,mean_actor_action_saturation_ratio,fast_actor_action_abs_mean,slow_actor_action_abs_mean,fast_actor_reference_deviation_rms,slow_actor_reference_deviation_rms,fast_curtailment_action_mean
slow_pretrain,10,5280,-62633.45993411481,-4938.693664470468,-130.4863748627392,-1353.0565483948087,-14.588146196588575,,-21463.88503858747,,,,,,5280,264,132,0,80,0.015692985443780373,0.35867217059659695,5.051494185911073e-10,1.7881393432617188e-07,0.015692984823059912,0.358672171831131,0.5520455775161585,1.3006281852722168,0.0,0.0,0.02264224418755017,0.6062301724508683,8633.339238442757,4439.768659060282,41654.24704574802,1129.0413333861623,0.0,0.0,0.0,0,0,5280,264,132,0,18,0,0,9,0,0,18,0,0,14400.000100000001,264.0001,0.0001,0.0,0.0,0.0,0.0,0.3926351699564192,0.0,0.5589538150363498,0.0
slow_pretrain,11,5760,-65972.22924928839,-6948.327373493822,-137.4421442693508,-748.671592201405,-41.4706601823994,,-21463.88503858747,,,,,,5760,288,144,0,81,0.0032301957352544835,0.11307013924226228,4.656614783586181e-10,1.341104507446289e-07,0.0032301954925060272,0.11307013034820557,0.9958400093019009,1.6782536506652832,0.0,0.0,0.027192697955293808,0.7271687833139521,11558.681472485177,6347.015546460446,31773.502326512127,8747.503052145988,0.0,0.0,0.0,0,0,5760,288,144,0,66,0,0,33,0,0,66,0,0,14400.000100000001,288.0001,0.0001,0.0,0.0,0.01582031248350783,0.0,0.6147653410832087,0.0,0.8746703887979189,0.0
slow_pretrain,12,6240,-184784.7011464239,-8295.6367405884,-384.96812738838304,-4142.818955839499,-45.257147705947574,,-21463.88503858747,,,,,,6240,312,156,0,78,0.007974459875648876,0.20223193610654905,1.241763432820638e-10,5.960464477539063e-08,0.00797445997595787,0.20223194360733032,1.50849582751592,1.7320507764816284,0.0,0.0,0.029881674342735507,0.734278150118192,15458.773398480493,6470.945123061797,146498.11049228234,9418.424866822013,0.0,0.0,0.0,0,0,6240,312,156,0,114,0,0,57,0,0,114,0,0,14400.000100000001,312.0001,0.0001,0.0,0.0,0.3449218813329935,0.0,0.8794606253504753,0.0,1.1248018443584442,0.0
slow_pretrain,13,6720,-200978.10299644654,-7175.213672663213,-418.7043812425972,-4967.3185494060135,-43.7633174129948,,-21463.88503858747,,,,,,6720,336,168,0,83,0.004359402711768897,0.09568992770579926,1.7561186578992268e-10,8.429369557916289e-08,0.004359402521125351,0.09568992257118225,1.5185611844062805,1.7257136106491089,0.0,0.0,0.02789980690424695,0.7226249839572189,13753.388462660107,6267.122657922259,166440.72427562063,8085.679693430921,0.0,0.0,0.0,0,0,6720,336,168,0,162,0,0,81,0,0,162,0,0,14400.000100000001,336.0001,0.0001,0.0,0.0,0.7469401210546494,0.0,0.9774428258339564,0.0,1.1480419884125392,0.0
slow_pretrain,14,7200,-205615.83660100325,-5191.833108809494,-428.3663262520902,-5275.20565548634,-28.189502429576624,-59573.1310565728,-59573.1310565728,0.0,1.0,1.0,0.022755077239604047,0.4683645704802675,7200,360,180,0,82,0.00023865383687173176,0.027607881272285972,3.7252902984619143e-10,1.7881393432617188e-07,0.0002386532723903656,0.027607858180999756,1.54463525613149,1.7320507764816284,0.0,0.0,0.02626624991785251,0.565089897324343,12414.136635573042,3949.092143444938,179658.7225719147,1839.3758097216082,0.0,0.0,0.0,0,0,7200,360,180,0,210,0,0,105,0,0,210,0,0,14400.000100000001,360.0001,0.0001,0.0,0.0,0.6174479300777117,0.0,0.9310932258764902,0.0,1.1057176689306896,0.0
slow_pretrain,15,7680,-47256.02318781909,-3637.5882585754516,-98.45004830795642,-1241.4496671178692,-10.033140611207292,,-59573.1310565728,,,,,,7680,384,192,0,81,0.005116519924858994,0.17353403372351384,8.071462313334147e-10,2.086162567138672e-07,0.005116518959403038,0.17353403568267822,1.2680576865871747,1.7320507764816284,0.0,0.0,0.02156326844910369,0.4718589242226024,7714.980522983908,2672.140566531872,29987.260027373697,0.0,0.0,0.0,0.0,0,0,7680,384,192,0,258,0,0,129,0,0,258,0,0,14400.000100000001,384.0001,0.0001,0.0,0.0,0.349869800110658,0.0,0.8235564157366753,0.0,1.0489145418008168,0.0
slow_pretrain,16,8160,-73779.93878623626,-4897.188765362882,-153.7082058046588,-1292.620131571506,-10.609778162167183,,-59573.1310565728,,,,,,8160,408,204,0,83,0.005130477849181003,0.10649164931344661,7.45058071719799e-10,2.980232238769531e-07,0.005130477156490088,0.10649165511131287,1.1263669679562252,1.5466479063034058,0.0,0.0,0.02137234289750633,0.47946208368540794,7479.0862196760045,2759.3710064359543,57018.542099539176,0.0,0.0,0.0,0.0,0,0,8160,408,204,0,306,0,0,153,0,0,306,0,0,14400.000100000001,408.0001,0.0001,0.0,0.0,0.32578125409781933,0.0,0.8130512709418932,0.0,1.0225619301199913,0.0
slow_pretrain,17,8640,-14404.112186114056,-3473.041000101813,-30.008567054404313,-979.956807466895,-9.56972175434929,,-59573.1310565728,,,,,,8640,432,216,0,80,1.1920969776436668e-10,5.7220491012088814e-08,1.241763432820638e-10,5.960464477539063e-08,0.0,0.0,1.4385213951269786,1.7320507764816284,0.0,0.0,0.014373503825654398,0.4850533480169086,3397.2302785300753,2823.5079821875606,1483.5572163749205,0.0,0.0,0.0,0.0,0,0,8640,432,216,0,354,0,0,177,0,0,354,0,0,14400.000100000001,432.0001,0.0001,0.0,0.0,0.6119791766007742,0.0,0.9415133347113928,0.0,1.0466093147794406,0.0
slow_pretrain,18,9120,-16506.269774374065,-3630.6892050709357,-34.38806202994594,-1604.7237891610723,-10.418456225839698,,-59573.1310565728,,,,,,9120,456,228,0,76,1.6858770153159832e-10,8.092194497703134e-08,1.7561188151808219e-10,8.429369557916289e-08,0.0,0.0,1.5839366937677066,1.7320507764816284,0.0,0.0,0.014412727999762733,0.48586518434848913,3495.353913705047,2832.8811180936987,3355.4821344967104,0.0,0.0,0.0,0.0,0,0,9120,456,228,0,402,0,0,201,0,0,402,0,0,14400.000100000001,456.0001,0.0001,0.0,0.0,0.8921875134110451,0.0,0.9893256276845932,0.0,1.0653697078426678,0.0
slow_pretrain,19,9600,-16959.377320629177,-3651.000141445834,-35.332036084644145,-1627.325513677238,-9.11061288616946,-17414.01025428987,-17414.01025428987,0.0,1.0,1.0,0.014397900425619658,0.4835154844065219,9600,480,240,0,83,1.6858777642669661e-10,8.092196837141236e-08,1.7561186578992268e-10,8.429369557916289e-08,0.0,0.0,1.5570317233602207,1.7320507764816284,0.0,0.0,0.014408426888855708,0.48683687503177636,3589.770745407047,2844.3758897268335,3687.104677600379,0.0,0.0,0.0,0.0,0,0,9600,480,240,0,450,0,0,225,0,0,450,0,0,14400.000100000001,480.0001,0.0001,0.0,0.0,0.9590494856238365,0.0,0.9935000116626421,0.0,1.063882514834404,0.0
