stage,episode,global_step,episode_return,manager_return,mean_step_reward,min_step_reward,max_step_reward,eval_return,best_eval_return,eval_solver_failures,eval_power_success_rate,eval_gas_success_rate,eval_mean_voltage_rms_deviation_pu,eval_mean_gas_pressure_rms_deviation_bar,fast_buffer_size,slow_buffer_size,manager_buffer_size,solver_failures,gas_solve_count,mean_action_projection,max_action_projection,mean_slow_action_projection,max_slow_action_projection,mean_fast_action_projection,max_fast_action_projection,mean_ess_action_guard,max_ess_action_guard,mean_goal_change,max_goal_change,mean_voltage_rms_deviation_pu,mean_gas_pressure_rms_deviation_bar,voltage_deviation_cost,gas_pressure_deviation_cost,voltage_violation_cost,gas_pressure_violation_cost,pipe_velocity_violation_cost,source_capacity_violation_cost,gas_purchase_cost,interaction_reward_estimated_clips,manager_reward_clips,fast_total_insertions,slow_total_insertions,manager_total_insertions,fast_update_count,slow_update_count,manager_update_count,fast_actor_update_count,slow_actor_update_count,manager_actor_update_count,fast_critic_update_count,slow_critic_update_count,manager_critic_update_count,nonfinite_batch_count,fast_normalizer_count,slow_normalizer_count,manager_normalizer_count,mean_target_q_clipping_ratio,mean_reward_clipping_ratio,mean_actor_action_saturation_ratio
joint_finetune,0,480,-398793.0424626901,-398793.0424626901,-830.8188384639391,-21292.810991925093,-13.814099512788308,,-inf,,,,,,480,24,12,0,77,0.042128815323167354,0.7148104883601661,0.0,0.0,0.04212881503238653,0.7148104906082153,0.0,0.0,0.24748920987952838,0.3514457046985626,0.03280228306689587,0.5693164794679029,18313.025757589632,3889.61804329355,367516.27439997345,0.0,0.0,0.0,0.0,0,5,480,24,12,0,0,0,0,0,0,0,0,0,0,19680.0001,864.0001,248.0001,0.0,0.0,0.0
joint_finetune,1,960,-491964.459368613,-491964.459368613,-1024.9259570179431,-18432.63311489752,-14.051056014355392,,-inf,,,,,,960,48,24,0,75,0.05610387343910051,0.6176600560196981,0.0,0.0,0.05610387313766599,0.6176600456237793,0.0,0.0,0.25209732353687286,0.3673165440559387,0.03461580255742301,0.5689680604789987,20684.345263455314,3884.928491366649,458137.14538728655,0.0,0.0,0.0,0.0,0,5,960,48,24,0,0,0,0,0,0,0,0,0,0,20160.0001,888.0001,248.0001,0.0,0.0,0.0
joint_finetune,2,1440,-373109.43378892227,-373109.43378892227,-777.311320393588,-20704.454307060278,-17.097249749438983,,-inf,,,,,,1440,72,36,0,76,0.047215128699648425,0.5580894739152815,0.0,0.0,0.0472151281661354,0.5580894947052002,0.0,0.0,0.22656571729616684,0.34867191314697266,0.03197611125707588,0.5692052560944469,17638.975551459396,3888.1212181773726,342343.59668778436,0.0,0.0,0.0,0.0,0,4,1440,72,36,0,0,0,0,0,0,0,0,0,0,20640.0001,912.0001,248.0001,0.0,0.0,0.0
joint_finetune,3,1920,-168840.65523731458,-168840.65523731458,-351.7513650777389,-12331.712709856667,-18.065416872600025,,-inf,,,,,,1920,96,48,0,80,0.0387360860452713,0.5516368583378062,0.0,0.0,0.03873608553549275,0.5516368746757507,0.0,0.0,0.2558576383373954,0.379690945148468,0.02753544214411026,0.5699787158614019,12098.779077754916,3898.7215028383957,143133.31893246318,0.0,0.0,0.0,0.0,0,1,1920,96,48,0,0,0,0,0,0,0,0,0,0,21120.0001,936.0001,248.0001,0.0,0.0,0.0
joint_finetune,4,2400,-338195.71373795305,-338195.71373795305,-704.574403620735,-4302.314128229964,-24.00124686606168,-82840.16512280364,-82840.16512280364,0.0,1.0,1.0,0.026043339945659133,0.47718299898315814,2400,120,60,0,83,0.22548933555700204,0.8839938610308734,1.552204452933322e-10,7.450580596923828e-08,0.22548933373376107,0.8839938640594482,0.30174287036061287,1.0653680562973022,0.16114145652814346,0.2732645869255066,0.03379299910603122,0.5461912715821675,16890.68315919537,3586.028754886068,303587.0190423011,0.0,0.0,0.0,0.0,0,3,2400,120,60,0,0,0,0,0,0,0,0,0,0,21600.0001,960.0001,256.0001,0.0,0.0,0.0
joint_finetune,5,2880,-74605.35484449701,-74605.35484449701,-155.42782259270214,-1381.1597379177488,-24.053270825409374,,-82840.16512280364,,,,,,2880,144,72,0,75,0.3203036448597761,1.0877134548601297,1.3554040852644295e-10,6.505939609269262e-08,0.32030364479675577,1.0877134799957275,1.4579458857576053,1.7320507764816284,0.0034135765057395806,0.018121005967259407,0.025587497927282966,0.48276455276919195,9735.49324539806,2797.6180425434386,51218.59103729488,0.0,0.0,0.0,0.0,0,0,2880,144,72,0,0,0,0,0,0,0,0,0,0,22080.0001,984.0001,268.0001,0.0,0.0,0.0
joint_finetune,6,3360,-87326.47209049376,-87326.47209049376,-181.93015018852915,-3951.698804614424,-23.062852695921492,,-82840.16512280364,,,,,,3360,168,84,0,80,0.309645442569785,1.0623293979406023,1.7561187735474586e-10,8.429369557916289e-08,0.309645440945557,1.0623292922973633,1.556928110619386,1.7320507764816284,0.0006332723582586782,0.004266777075827122,0.024226388949388934,0.47823262081887885,8552.165041919532,2744.5209047134954,64711.62862126172,0.0,0.0,0.0,0.0,0,0,3360,168,84,0,0,0,0,0,0,0,0,0,0,22560.0001,1008.0001,280.0001,0.0,0.0,0.0
joint_finetune,7,3840,-159169.53994272652,-159169.53994272652,-331.60320821401376,-4538.298211497146,-23.48832354075068,,-82840.16512280364,,,,,,3840,192,96,0,81,0.30590354941296666,1.0811961195553925,1.7561187735474586e-10,8.429369557916289e-08,0.30590354874721015,1.0811960697174072,1.5485160946846008,1.7314186096191406,0.0006304971228184348,0.004023053217679262,0.026783441892743308,0.47853951272722833,10823.671549489916,2748.086849597503,134095.98982024455,0.0,0.0,0.0,0.0,0,2,3840,192,96,0,0,0,0,0,0,0,0,0,0,23040.0001,1032.0001,292.0001,0.0,0.0,0.0
joint_finetune,8,4320,-92562.8792997606,-92562.8792997606,-192.83933187450117,-1186.168930059968,-21.458674291563536,,-82840.16512280364,,,,,,4320,216,108,0,85,0.28751184837157,1.0631062482182856,1.7561186578992268e-10,8.429369557916289e-08,0.28751184664579343,1.0631061792373657,1.557621916135152,1.7320507764816284,0.0006108866298084401,0.0039151571691036224,0.02606100810815153,0.4783954952669023,9328.820038271942,2746.3837468073016,68201.6658534939,0.0,0.0,0.0,0.0,0,0,4320,216,108,0,0,0,0,0,0,0,0,0,0,23520.0001,1056.0001,304.0001,0.0,0.0,0.0
joint_finetune,9,4800,-132508.67437367394,-132508.67437367394,-276.05973827848726,-7840.868627913142,-22.7757890156414,-101150.80618602864,-82840.16512280364,0.0,1.0,1.0,0.026722151290725374,0.4773457799166729,4800,240,120,0,80,0.28758848992403324,1.0917811300627656,1.7561187735474586e-10,8.429369557916289e-08,0.2875884895406974,1.0917811393737793,1.5518744563062985,1.7320507764816284,0.0006111801181263713,0.0041228998452425,0.027348418234619025,0.47808581464014105,10599.765805272202,2742.8368896409193,106763.80153164521,0.0,0.0,0.0,0.0,0,1,4800,240,120,0,0,0,0,0,0,0,0,0,0,24000.0001,1080.0001,316.0001,0.0,0.0,0.0
