stage,episode,global_step,episode_return,manager_return,mean_step_reward,min_step_reward,max_step_reward,eval_return,best_eval_return,eval_solver_failures,eval_power_success_rate,eval_gas_success_rate,eval_mean_voltage_rms_deviation_pu,eval_mean_gas_pressure_rms_deviation_bar,fast_buffer_size,slow_buffer_size,manager_buffer_size,solver_failures,gas_solve_count,mean_action_projection,max_action_projection,mean_slow_action_projection,max_slow_action_projection,mean_fast_action_projection,max_fast_action_projection,mean_ess_action_guard,max_ess_action_guard,mean_goal_change,max_goal_change,mean_voltage_rms_deviation_pu,mean_gas_pressure_rms_deviation_bar,voltage_deviation_cost,gas_pressure_deviation_cost,voltage_violation_cost,gas_pressure_violation_cost,pipe_velocity_violation_cost,source_capacity_violation_cost,gas_purchase_cost,interaction_reward_estimated_clips,manager_reward_clips,fast_total_insertions,slow_total_insertions,manager_total_insertions,fast_update_count,slow_update_count,manager_update_count,fast_actor_update_count,slow_actor_update_count,manager_actor_update_count,fast_critic_update_count,slow_critic_update_count,manager_critic_update_count,nonfinite_batch_count,fast_normalizer_count,slow_normalizer_count,manager_normalizer_count,mean_target_q_clipping_ratio,mean_reward_clipping_ratio,mean_actor_action_saturation_ratio,fast_actor_action_abs_mean,slow_actor_action_abs_mean,fast_actor_action_saturation_ratio,slow_actor_action_saturation_ratio,fast_actor_reference_deviation_rms,slow_actor_reference_deviation_rms,fast_curtailment_action_mean,slow_raw_to_guard_projection_rms,slow_guard_to_executed_projection_rms,slow_global_safety_group_share,slow_role_specific_group_share,joint_evaluations_without_improvement,early_stop_requested
joint_finetune,10,5280,-11658.462914925092,-3265.0689086975594,-24.28846440609393,-113.98157681653679,-7.141263023200196,,-12319.26515536054,,,,,,5280,264,132,0,80,0.12859391224357858,0.6101112045831255,1.7561187735474586e-10,8.429369557916289e-08,0.12859391135474046,0.6101112365722656,1.5467883422970772,1.6871756315231323,0.09346596597871129,0.5489559769630432,0.011130338886392003,0.4842379131929554,1818.7736097391955,2813.857063381968,85.09909666076885,0.0,0.0,0.0,0.0,0,0,5280,264,132,4289,402,404,715,67,0,4289,402,404,0,26880.0001,1104.0001,748.0001,0.0,0.0,0.17092041194438934,0.5909856557846069,0.9861151203513145,0.1286895751953125,0.8496093973517418,0.7294781051576138,0.5332904607057571,-0.4172479957342148,0.4833773887752571,8.304226302942141e-08,0.6907811562220255,0.30921884377797443,1,0.0
joint_finetune,11,5760,-11504.38335091959,-3246.488630545898,-23.96746531441583,-118.64777865409803,-7.325425762697886,,-12319.26515536054,,,,,,5760,288,144,0,81,0.1299137325367265,0.5609810739781076,1.7561187735474586e-10,8.429369557916289e-08,0.12991373235320983,0.5609810948371887,1.510227049390475,1.681459665298462,0.09378961283255194,0.5505236387252808,0.01106805779349594,0.48437346970631,1746.9964450062962,2815.4233759455105,19.21173801637103,0.0,0.0,0.0,0.0,0,0,5760,288,144,4770,450,452,795,75,0,4770,450,452,0,27360.0001,1128.0001,760.0001,0.0,0.0,0.17544580101966858,0.596073605120182,0.9784596711397171,0.1369049072265625,0.8240234404802322,0.7222185961902141,0.5095850490033627,-0.4333925534039736,0.48856396882618536,8.288544245184542e-08,0.7117562554776669,0.28824374607453745,1,0.0
joint_finetune,12,6240,-11355.635387869519,-3236.556628147789,-23.65757372472815,-115.7212387786619,-7.296422670400961,,-12319.26515536054,,,,,,6240,312,156,0,78,0.1131709195894946,0.5913813885839937,1.7561186764029438e-10,8.429369557916289e-08,0.1131709191792955,0.5913813710212708,1.4690287038683891,1.6300331354141235,0.09323297659350581,0.5479757785797119,0.011012636228811601,0.48393830346048183,1689.1228863412466,2810.3636171700587,0.0008357324174663285,0.0,0.0,0.0,0.0,0,0,6240,312,156,5251,498,500,876,83,0,5251,498,500,0,27840.0001,1152.0001,772.0001,0.0,0.0,0.17811871637212168,0.599057001096231,0.9702170491218567,0.14281623746141975,0.8027343899011612,0.7196201203781881,0.5073231421411037,-0.4397446329211011,0.48513932515946473,8.268270483140132e-08,0.709647083034118,0.2903529116883874,1,0.0
joint_finetune,13,6720,-11317.001150998545,-3230.086540877743,-23.57708573124697,-112.98641606844,-7.182381862406279,,-12319.26515536054,,,,,,6720,336,168,0,83,0.11908605942455551,0.6243793098446878,1.7561187735474586e-10,8.429369557916289e-08,0.119086059074228,0.6243792772293091,1.4433469822009404,1.6281907558441162,0.09358500617765292,0.549223780632019,0.010741417397658725,0.4840298225556439,1594.8439727610403,2811.432515138933,0.0,0.0,0.0,0.0,0.0,0,0,6720,336,168,5732,546,548,956,91,0,5732,546,548,0,28320.0001,1176.0001,784.0001,0.0,0.0,0.17849462985992431,0.5958649978041649,0.9652723148465157,0.1431182861328125,0.800000011920929,0.7245513215661049,0.49320700019598007,-0.42845117673277855,0.4844857901210509,8.258036156086144e-08,0.7097501556078593,0.2902498484278719,1,0.0
joint_finetune,14,7200,-11394.119059917324,-3244.0027888278764,-23.737748041494434,-113.98216018485607,-7.301348564949031,-11437.72019870053,-11437.72019870053,0.0,1.0,1.0,0.011211232451049657,0.4834776237324234,7200,360,180,0,82,0.11633351214963235,0.5994322889772072,2.483526865641276e-10,5.960464477539063e-08,0.11633351218576232,0.5994322896003723,1.4165259972214699,1.5885210037231445,0.09345897283360087,0.5487255454063416,0.010939958790192876,0.48419176995241664,1647.4321440692106,2813.3162414695394,0.913487844551856,0.0,0.0,0.0,0.0,0,0,7200,360,180,6213,594,596,1036,99,0,6213,594,596,0,28800.0001,1200.0001,796.0001,0.0,0.0,0.1808457040786743,0.5992286838591099,0.9593552947044373,0.14605712890625,0.800000011920929,0.7237381793558597,0.48733697459101677,-0.4333173155784607,0.4812489677290146,8.287743006364052e-08,0.7083948031067848,0.291605181992054,0,0.0
joint_finetune,15,7680,-11587.04493241387,-3255.21761111339,-24.139676942528915,-115.43644223968141,-7.322613327675445,,-11437.72019870053,,,,,,7680,384,192,0,81,0.119958204296174,0.6050213535570242,2.483526865641276e-10,5.960464477539063e-08,0.11995820411636184,0.6050213575363159,1.3716825395822525,1.5651910305023193,0.0932726945386755,0.5478365421295166,0.01135389292763487,0.4842545811336886,1809.8929152320825,2814.0477109152516,0.0,0.0,0.0,0.0,0.0,0,0,7680,384,192,6694,642,644,1116,107,0,6694,642,644,0,29280.0001,1224.0001,808.0001,0.0,0.0,0.1825546884536743,0.6023413464426994,0.9527323320508003,0.148193359375,0.800000011920929,0.7234381273388862,0.4791075885295868,-0.4371577113866806,0.48101914871223783,8.277028480880389e-08,0.7139167860150337,0.286083210259676,0,0.0
joint_finetune,16,8160,-11525.7296422605,-3253.0398203499503,-24.011936754709367,-115.74429260564582,-7.234923303262679,,-11437.72019870053,,,,,,8160,408,204,0,83,0.11961653705504542,0.6577513355177119,2.483526865641276e-10,5.960464477539063e-08,0.11961653690474729,0.6577513217926025,1.3342656642198563,1.5088934898376465,0.09336109033095207,0.5480515956878662,0.01125397787315886,0.48423415896545674,1736.8537450383412,2813.8094945462726,3.082395863546987,0.0,0.0,0.0,0.0,0,0,8160,408,204,7175,690,692,1196,115,0,7175,690,692,0,29760.0001,1248.0001,820.0001,0.0,0.0,0.1818857431411743,0.6015635147690773,0.9446238428354263,0.147357177734375,0.800000011920929,0.7271206796169281,0.46031271666288376,-0.43152742497622965,0.48243066551910097,8.255118801146882e-08,0.7212824635207653,0.27871753244350356,0,0.0
joint_finetune,17,8640,-11642.490762117492,-3255.9896218180884,-24.255189087744775,-114.01668017506583,-7.477265813266218,,-11437.72019870053,,,,,,8640,432,216,0,80,0.11966381825864116,0.7120039757542913,2.483526865641276e-10,5.960464477539063e-08,0.11966381878980124,0.7120040059089661,1.2799443205197651,1.452720046043396,0.09356078419957405,0.5496313571929932,0.01158028165631431,0.484508810888597,1884.828340624325,2817.0079783787833,23.22895805169355,0.0,0.0,0.0,0.0,0,0,8640,432,216,7656,738,740,1276,123,0,7656,738,740,0,30240.0001,1272.0001,832.0001,0.0,0.0,0.18117041110992432,0.6004364140331745,0.9333555027842522,0.1464630126953125,0.800000011920929,0.7283377990126609,0.4407339170575142,-0.42868262678384783,0.474578407046497,8.245710818286298e-08,0.7181912598510584,0.2818087376654148,0,0.0
joint_finetune,18,9120,-11472.34178158862,-3240.73190861869,-23.900712044976313,-117.07809328526417,-7.592316173185115,,-11437.72019870053,,,,,,9120,456,228,0,76,0.12804828775230678,0.6900140390447858,2.483526865641276e-10,5.960464477539063e-08,0.12804828744847327,0.6900140643119812,1.2011607388655345,1.3699982166290283,0.09327599050580333,0.548058807849884,0.01174982839045468,0.48429681318632334,1969.0521342815944,2814.5307737329135,1.3432380751562916,0.0,0.0,0.0,0.0,0,0,9120,456,228,8137,786,788,1357,131,0,8137,786,788,0,30720.0001,1296.0001,844.0001,0.0,0.0,0.1812234113712122,0.6019110922460202,0.9183598533272743,0.14695758584104937,0.800000011920929,0.7225101899217676,0.42318500205874443,-0.43982476658291286,0.4758761556363083,8.291295122660566e-08,0.7427978962659836,0.257202111184597,0,0.0
joint_finetune,19,9600,-11624.858225391332,-3253.889584979841,-24.218454636231954,-118.87828123873928,-7.646072788792853,-11362.929687153424,-11362.929687153424,0.0,1.0,1.0,0.011361084798278465,0.48347233950683627,9600,480,240,0,83,0.1314866155073123,0.6715108879798617,1.7561186578992268e-10,8.429369557916289e-08,0.13148661602366093,0.6715108752250671,1.1400180011987686,1.3307881355285645,0.09343537200799222,0.5493150949478149,0.011387551530783309,0.48399275351862164,1814.8000499003062,2811.004788366042,0.0,0.0,0.0,0.0,0.0,0,0,9600,480,240,8618,834,836,1437,139,0,8618,834,836,0,31200.0001,1320.0001,856.0001,0.0,0.0,0.18235693454742433,0.603405486792326,0.9039585217833519,0.1479461669921875,0.800000011920929,0.7180164225399495,0.40745584294199944,-0.4487507831305265,0.47280566130466256,8.330774639081846e-08,0.7410849605997404,0.2589150449881951,0,0.0
joint_finetune,20,10080,-11522.743171109982,-3252.4186297786637,-24.00571493981244,-115.84870022330415,-7.685045883491716,,-11362.929687153424,,,,,,10080,504,252,0,80,0.13467431880620895,0.6775144250251078,1.7561186578992268e-10,8.429369557916289e-08,0.1346743188565597,0.6775144338607788,1.138069209953149,1.3396426439285278,0.09357307660882891,0.5494381189346313,0.01173949027185328,0.48390597361286913,1968.6420015012654,2809.9937460023743,0.04619976861076065,0.0,0.0,0.0,0.0,0,0,10080,504,252,9099,882,884,1517,147,0,9099,882,884,0,31680.0001,1344.0001,868.0001,0.0,0.0,0.18217138767242433,0.6060011938214303,0.9021792337298393,0.1477142333984375,0.800000011920929,0.7217369966208935,0.40379979088902473,-0.44749149307608604,0.46701422057963304,8.355418956368966e-08,0.7331957841912905,0.26680420991033316,0,0.0
joint_finetune,21,10560,-11184.906787300068,-3219.09794798213,-23.30188914020848,-114.75416306451483,-7.509187377507279,,-11362.929687153424,,,,,,10560,528,264,0,89,0.12969906418807828,0.6766891945985963,1.7561186578992268e-10,8.429369557916289e-08,0.12969906489985686,0.6766892075538635,1.1286218961079915,1.3040343523025513,0.0934528437577352,0.5489252805709839,0.011608267847011165,0.48417555659402184,1949.4002999743807,2813.1291599630567,0.1270462112302682,0.0,0.0,0.0,0.0,0,0,10560,528,264,9580,930,932,1597,155,0,9580,930,932,0,32160.0001,1368.0001,880.0001,0.0,0.0,0.18474951267242432,0.6074413172900677,0.9006315320730209,0.1509368896484375,0.800000011920929,0.7092568270862103,0.3968823775649071,-0.4679332498461008,0.4664642014435367,8.339236208595985e-08,0.7385945357382298,0.26140546674529713,0,0.0
joint_finetune,22,11040,-11060.936943712974,-3212.8697636565103,-23.043618632735352,-112.83814175724874,-7.167657056721858,,-11362.929687153424,,,,,,11040,552,276,0,81,0.13338799627310932,0.6119457794527513,1.7561186578992268e-10,8.429369557916289e-08,0.1333879948341443,0.6119457483291626,1.09195892761151,1.2474238872528076,0.09547799832415133,0.5491743087768555,0.011602926597930198,0.48421402752382664,1972.3976123006323,2813.5781889465543,0.0,0.0,0.0,0.0,0.0,0,0,11040,552,276,10061,978,980,1677,163,0,10061,978,980,0,32640.0001,1392.0001,892.0001,0.0,0.0,0.18510839939117432,0.6065039806067943,0.8920226916670799,0.151385498046875,0.800000011920929,0.7043265491724015,0.40025554969906807,-0.47337762378156184,0.46584881189523275,8.345248167578097e-08,0.7472074329853058,0.25279256359984476,0,0.0
joint_finetune,23,11520,-11095.496590978917,-3192.174925960092,-23.11561789787275,-114.01349075709439,-7.656914146658453,,-11362.929687153424,,,,,,11520,576,288,0,87,0.13455988607632197,0.5677252981475228,1.7561186578992268e-10,8.429369557916289e-08,0.13455988646407302,0.5677253007888794,1.0652094781398773,1.234588384628296,0.09418010180425798,0.550197422504425,0.012109064294235654,0.48404999336210675,2180.7782685441393,2811.6690970187797,0.26191891293292036,0.0,0.0,0.0,0.0,0,0,11520,576,288,10542,1026,1028,1757,171,0,10542,1026,1028,0,33120.000100000005,1416.0001,904.0001,0.0,0.0,0.18422949314117432,0.6035811267793179,0.8844792395830154,0.150286865234375,0.800000011920929,0.6979783549904823,0.3823331333696842,-0.4783932462334633,0.46143963942666255,8.370326962915654e-08,0.7383300885558128,0.26166991082330543,0,0.0
joint_finetune,24,12000,-11017.87905804768,-3203.721924552946,-22.953914704266015,-112.28806228779297,-7.5056521057940495,-10896.161878446945,-10896.161878446945,0.0,1.0,1.0,0.011186688617733287,0.4834654451688089,12000,600,300,0,75,0.11509227728778414,0.5391360725850464,1.241763432820638e-10,5.960464477539063e-08,0.11509227742208168,0.5391360521316528,1.0325040916601818,1.196022629737854,0.09378078204033292,0.5500407218933105,0.011447328533449763,0.484278295220384,1933.360757668178,2814.316130361914,0.0,0.0,0.0,0.0,0.0,0,0,12000,600,300,11023,1074,1076,1838,179,0,11023,1074,1076,0,33600.000100000005,1440.0001,916.0001,0.0,0.0,0.1804329758823508,0.5977364160396434,0.8703425899147987,0.14597198109567902,0.800000011920929,0.6915667829690156,0.36034585535526276,-0.48073327394179355,0.45889740180751704,8.307587555397277e-08,0.7443544728060564,0.25564551819115877,0,0.0
