stage,episode,global_step,episode_return,manager_return,mean_step_reward,min_step_reward,max_step_reward,eval_return,best_eval_return,eval_solver_failures,eval_power_success_rate,eval_gas_success_rate,eval_mean_voltage_rms_deviation_pu,eval_mean_gas_pressure_rms_deviation_bar,fast_buffer_size,slow_buffer_size,manager_buffer_size,solver_failures,gas_solve_count,mean_action_projection,max_action_projection,mean_slow_action_projection,max_slow_action_projection,mean_fast_action_projection,max_fast_action_projection,mean_ess_action_guard,max_ess_action_guard,mean_goal_change,max_goal_change,mean_voltage_rms_deviation_pu,mean_gas_pressure_rms_deviation_bar,voltage_deviation_cost,gas_pressure_deviation_cost,voltage_violation_cost,gas_pressure_violation_cost,pipe_velocity_violation_cost,source_capacity_violation_cost,gas_purchase_cost,interaction_reward_estimated_clips,manager_reward_clips,fast_total_insertions,slow_total_insertions,manager_total_insertions,fast_update_count,slow_update_count,manager_update_count,fast_actor_update_count,slow_actor_update_count,manager_actor_update_count,fast_critic_update_count,slow_critic_update_count,manager_critic_update_count,nonfinite_batch_count,fast_normalizer_count,slow_normalizer_count,manager_normalizer_count,mean_target_q_clipping_ratio,mean_reward_clipping_ratio,mean_actor_action_saturation_ratio,fast_actor_action_abs_mean,slow_actor_action_abs_mean,fast_actor_reference_deviation_rms,slow_actor_reference_deviation_rms,fast_curtailment_action_mean
manager_train,0,480,-65909.27469065844,-3970.699495912461,-137.31098893887165,-1699.3039091584033,-14.258331130474366,,-inf,,,,,,480,24,12,0,77,0.1550907461329583,0.7582594170208081,0.0,0.0,0.1550907466521797,0.7582594156265259,0.0,0.0,0.2611735896630721,0.32130539417266846,0.025124400619545382,0.5692772748290819,9298.559336439654,3889.060514507762,43759.64024878652,0.0,0.0,0.0,0.0,0,0,480,24,12,0,0,0,0,0,0,0,0,0,0,14400.000100000001,480.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manager_train,1,960,-79940.57853269295,-3157.098234574685,-166.54287194311047,-9358.11787184189,-10.708180634185249,,-inf,,,,,,960,48,24,0,75,0.08614573673472999,0.6438031479676174,0.0,0.0,0.08614573667291552,0.6438031792640686,0.0,0.0,0.25594891201366077,0.3410964608192444,0.0205146929368415,0.568176435832851,6749.699929766472,3874.0253731822736,62765.41360936792,0.0,0.0,0.0,0.0,0,0,960,48,24,0,0,0,0,0,0,0,0,0,0,14400.000100000001,480.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manager_train,2,1440,-78882.27405358737,-3454.2783437221024,-164.33807094497377,-3925.333096920138,-12.443864526138851,,-inf,,,,,,1440,72,36,0,76,0.13435258007065268,0.8462558026272878,0.0,0.0,0.13435258050837243,0.8462558388710022,0.0,0.0,0.2594654289158908,0.32116955518722534,0.023284817907995557,0.5705366480440988,8680.253317134891,3906.2966406868213,57862.979367057604,0.0,0.0,0.0,0.0,0,0,1440,72,36,0,0,0,0,0,0,0,0,0,0,14400.000100000001,480.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manager_train,3,1920,-32248.765154838384,-2575.501828093138,-67.18492740591334,-1544.8133488154751,-10.055922168762333,,-inf,,,,,,1920,96,48,0,80,0.1304577969185098,0.7104431815172507,0.0,0.0,0.13045779671422983,0.7104431986808777,0.0,0.0,0.26753382655707275,0.3520103991031647,0.01924510740837632,0.5701397852722689,5641.169805855583,3900.9370912869763,15783.056438313282,0.0,0.0,0.0,0.0,0,0,1920,96,48,0,0,0,0,0,0,0,0,0,0,14400.000100000001,480.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manager_train,4,2400,-63510.934147411834,-3497.943656738386,-132.31444614044128,-3614.9082891485677,-10.833591546948535,-69330.52745201698,-69330.52745201698,0.0,1.0,1.0,0.015454970009053088,0.48350019134901406,2400,120,60,0,83,0.10347352393235622,0.6018546679783505,2.4156702029334843e-17,5.82205724602991e-15,0.10347352349587406,0.6018546223640442,0.32881798564145964,1.1225672960281372,0.19901560992002487,0.3304172456264496,0.01668576055769199,0.5465121613138165,5295.307891486728,3589.541230482635,47289.49089396946,0.0,0.0,0.0,0.0,0,0,2400,120,60,0,0,0,0,0,0,0,0,0,0,14400.000100000001,480.0001,8.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manager_train,5,2880,-46064.675570805724,-4241.522883409236,-95.96807410584515,-4242.127493202607,-9.371415090833507,,-69330.52745201698,,,,,,2880,144,72,0,75,0.12524496727984544,0.5950214930326307,5.432716880095718e-11,2.60770320892334e-08,0.12524496663051346,0.5950214862823486,1.5170691808064778,1.72642982006073,0.11390383033589883,0.1657429337501526,0.014642771478812629,0.48765751588900097,3991.156556381998,2854.3487493581865,32796.51959640759,0.0,0.0,0.0,0.0,0,0,2880,144,72,0,0,0,0,0,0,0,0,0,0,14400.000100000001,480.0001,20.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manager_train,6,3360,-53125.830494596405,-4263.302230896407,-110.67881353040914,-5916.920543627922,-9.347356456628962,,-69330.52745201698,,,,,,3360,168,84,0,80,0.09100995237285821,0.6312202040899937,1.7561186578992268e-10,8.429369557916289e-08,0.09100995284194748,0.6312202215194702,1.6172693967819214,1.7262219190597534,0.14615902507847006,0.25021564960479736,0.014353566030576118,0.4835047627318989,4030.0735380575334,2805.3259464043726,40058.603299042836,0.0,0.0,0.0,0.0,0,0,3360,168,84,0,0,0,0,0,0,0,0,0,0,14400.000100000001,480.0001,32.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manager_train,7,3840,-61599.389258561656,-4374.145521775036,-128.33206095533697,-6337.727106895037,-9.055717095358032,,-69330.52745201698,,,,,,3840,192,96,0,81,0.11755517023953004,0.6687161559641187,1.7561186578992268e-10,8.429369557916289e-08,0.11755517048295587,0.6687161326408386,1.6170846770207088,1.7264631986618042,0.14903038333762775,0.2224213033914566,0.016496498091278518,0.4835057152234334,4936.9139554121475,2805.336961748156,47625.92225828289,0.0,0.0,0.0,0.0,0,0,3840,192,96,0,0,0,0,0,0,0,0,0,0,14400.000100000001,480.0001,44.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manager_train,8,4320,-71924.14162557214,-4379.628449314905,-149.8419617199423,-6740.526405339418,-9.650901921639232,,-69330.52745201698,,,,,,4320,216,108,0,85,0.0719551110379789,0.6823819258771753,1.7561186578992268e-10,8.429369557916289e-08,0.07195511148311198,0.6823819279670715,1.6169783820708592,1.726730227470398,0.12334293262525038,0.23644551634788513,0.01573249436278496,0.4835071911348366,4965.1878389128915,2805.3539936627553,58361.147087687255,0.0,0.0,0.0,0.0,0,0,4320,216,108,0,0,0,0,0,0,0,0,0,0,14400.000100000001,480.0001,56.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manager_train,9,4800,-74998.5250564265,-4536.3295829491235,-156.2469272008886,-7970.599682854265,-9.696908045324232,-82572.8671492057,-69330.52745201698,0.0,1.0,1.0,0.0180320630821177,0.4835059122851903,4800,240,120,0,80,0.10277498083129281,0.6563939787875058,1.7561187735474586e-10,8.429369557916289e-08,0.10277498027620216,0.6563940048217773,1.6171767885486286,1.7267998456954956,0.15431850268082184,0.24603596329689026,0.01715861451549995,0.4835036704422205,5400.106347205326,2805.313168655016,60561.58316483447,0.0,0.0,0.0,0.0,0,0,4800,240,120,0,0,0,0,0,0,0,0,0,0,14400.000100000001,480.0001,68.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
